"subcluster","n_cells","n_KO_samp","n_WT_samp","design","status","n_DE_absLFC_gt1","top_KO_up","top_KO_down"
"CM0",8886,4,4,"~timepoint + condition","ok",192,"Gabbr2,Tcf4,Adamts9,Ralyl,Tafa2,Ppfia2","Fcrls,Stfa2l1,Rpl39l,Epha10,Gm11961,Stfa1"
"CM1",5110,4,4,"~timepoint + condition","ok",86,"Gabbr2,Gm12381,Tcf4,Adamts9,Gm11007,Ralyl","Plac8,Gm44704,Chac1,Ano2,Ccl6,Tmem163"
"CM2",4631,4,4,"~timepoint + condition","ok",232,"Hbb-bh1,Gabbr2,Rsad2,Gm14296,Tcf4,Adamts9","Gm10451,Ndp,B230206H07Rik,9130019P16Rik,Dscam,2310015A16Rik"
"CM3",4262,4,4,"~timepoint + condition","ok",121,"Gabbr2,Tcf4,Adamts9,Ppfia2,Ralyl,Rhox5","Ltb4r1,Calb1,Tmem163,Dock9,Gm47985,Rtn4r"
"CM4",3522,4,4,"~timepoint + condition","ok",125,"Qrfprl,Gabbr2,Gm12381,Gm14443,1700031P21Rik,Tcf4","Tmem163,Tal1,Mir142hg,Snord14d,2310015A16Rik,Alpl"
"CM5",3491,4,4,"~timepoint + condition","ok",274,"Gabbr2,Tcf4,Gm10640,Camk2n2,Gm12381,Kcnmb1","Csta2,Ano2,2900052N01Rik,Tmem163,2310015A16Rik,Nptx2"
"CM6",3065,4,4,"~timepoint + condition","ok",181,"Gabbr2,Dscc1,Tcf4,Adamts9,Ralyl,Gm12381","Gm28981,Ano2,Gm49003,Nptx2,Tmem163,Sorcs3"
"CM7",2126,2,2,"~condition","ok",215,"Ngp,Ltf,Gabbr2,Zfp616,Camp,Tcf4","Gm46606,Gm49192,Gm26916,Rhox5,Dock9,Myo16"
"CM8",2042,4,4,"~timepoint + condition","ok",140,"Cyp2s1,Gabbr2,Gzmk,Igfbp6,Apela,Tcf4","B230206H07Rik,Tafa3,Nptx2,Acer2,Gm5441,Dscam"
"CM9",1599,4,4,"~timepoint + condition","ok",46,"Gabbr2,Tcf4,Adamts9,Gm12381,Ralyl,Tafa2","Gm31508,B230206H07Rik,Tmem163,Nptx2,Acer2,Tnfaip2"
"CM10",1227,4,4,"~timepoint + condition","ok",86,"Cntn2,Gabbr2,Cd74,Ahsg,Cytl1,Cdo1","Ifitm6,S100a8,C5ar1,Clec7a,S100a9,Itgb2"
"CM11",1122,4,4,"~timepoint + condition","ok",62,"Gabbr2,Tcf4,Adamts9,Ralyl,Caln1,Gm12381","Nptx2,Tmem163,Itgb6,Aox4,Acer2,Gm40841"
"CM12",614,4,4,"~timepoint + condition","ok",34,"Gabbr2,Tcf4,Adamts9,Ralyl,4833412C05Rik,Gm40318","G530012D18Rik,Dcpp2,Scn4b,4932422M17Rik,Adgrg1,Rsl1"
"CM13",312,2,2,"~condition","ok",198,"Gabbr2,Tcf4,Gm11290,Ddit4l,Dpy19l2,Rtn1","Bmp10,Smim41,Cdh20,Gm34544,Smoc2,Itpr2"
"CM14",309,4,4,"~timepoint + condition","ok",16,"Tcf4,Gabbr2,Adamts9,A930001M01Rik,Wsb2,Rab6a","Acer2,mt-Nd4l,mt-Atp8,mt-Tn,Ndufs5,Gm28438"
"CM15",98,0,1,NA,"skipped_too_few_or_unbalanced",NA,NA,NA
