"","Cardiomyocyte","Endothelial","Epicardial","Fibroblast","Immune_Myeloid","Mural_Pericyte","RBC"
"Cardiomyocyte",-26,-30,0,-5,-8,-8,5
"Endothelial",-9,-21,0,5,-8,-5,34
"Epicardial",0,0,0,0,0,0,0
"Fibroblast",-1,-34,0,7,-9,-14,44
"Immune_Myeloid",-3,-4,0,-3,0,0,8
"Mural_Pericyte",0,-18,0,7,-1,-5,32
"RBC",2,38,0,28,27,31,0
