"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.40576961036216,0.714,0.031,0,"CM8","Cldn5"
0,7.39747963801846,0.386,0.005,0,"CM8","Sox17"
0,7.16745440108107,0.7,0.026,0,"CM8","Gpihbp1"
0,7.14771615413021,0.512,0.01,0,"CM8","Ly6a"
0,7.02169780001032,0.701,0.024,0,"CM8","Apold1"
0,7.0154987342019,0.645,0.022,0,"CM8","Ly6c1"
0,6.86152752241348,0.484,0.011,0,"CM8","Myct1"
0,6.79932569614088,0.729,0.034,0,"CM8","Esam"
0,9.62500814757709,0.948,0.012,0,"CM9","Sln"
0,8.38309871837187,0.819,0.009,0,"CM9","Mybphl"
0,8.067219651564,0.632,0.012,0,"CM9","Fgf12"
0,7.60283169674662,0.297,0.002,0,"CM9","Nr2f1"
0,6.84682694307418,0.374,0.01,0,"CM9","Bmp2"
0,6.04612626811823,0.594,0.027,0,"CM9","Slc22a1"
0,5.75818273209654,0.284,0.009,0,"CM9","Slc39a8"
3.20345329589601e-236,5.63914445631866,1,0.474,9.71158901183835e-232,"CM9","Myl7"
0,5.50469813500284,0.265,0.007,0,"CM9","Plppr5"
2.40111066291821e-253,5.26340092187658,0.306,0.021,7.27920708570285e-249,"CM9","Adamts8"
0,14.7429586677523,0.265,0,0,"CM10","Tpsg1"
0,14.5064062370447,0.439,0.003,0,"CM10","Cma1"
0,14.3915575168314,0.286,0.001,0,"CM10","Mcpt4"
0,14.335777609172,0.439,0.004,0,"CM10","Tpsb2"
0,14.0502068673345,0.265,0,0,"CM10","Trbc1"
0,13.6466650068935,0.408,0,0,"CM10","Mrgprb2"
0,13.5525075130692,0.429,0,0,"CM10","Il1rl1"
0,13.5255094772311,0.439,0.006,0,"CM10","Cpa3"
0,13.4626188972066,0.418,0.001,0,"CM10","Tpsab1"
0,13.374860391432,0.276,0,0,"CM10","Fcer1a"
