"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Gsta4",0.262627604143386,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.16238422726053,0.000354287731228588,0.184104617845616,5.68331312483448e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","9","controlled","descriptive_n1_sex_confounded_depth_matched"
"Actg1",0.088628605355369,0.260206146608964,TRUE,TRUE,TRUE,TRUE,"up_in_KO",0.370541447508791,3.87313176419445e-18,0.593099237237319,4.91037564200107e-65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gm10184",0,-0.259286554243431,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0524439198629475,0.450789498637869,-0.0103388790086245,0.890264021340329,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm",NA,"controlled","descriptive_n1_sex_confounded_depth_matched"
"Smpd3",0,-0.258506262757368,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.031987696928896,0.855981701713982,-0.0904759957561869,0.565580782120092,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"Pou2af1",0.257165467838878,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",-0.0300596823137445,NA,-0.0958968487290241,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","9","controlled","descriptive_n1_sex_confounded_depth_matched"
"Svopl",0.2564249762216,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.026392719657717,NA,0.237303606378547,0.146417765145742,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","controlled","descriptive_n1_sex_confounded_depth_matched"
"Atcayos",-0.253453836152153,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.503894318185278,2.92356793318423e-46,0.24178396928673,1.02879606837987e-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"C1qb",0,-0.252489569685809,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-1.17959042559415,0.000340418930399486,0.0930728681575649,0.625739092879755,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tmsb4x",0,-0.250692804340446,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.035393931399637,0.632113110951592,0.194979307170527,2.75911092209378e-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","X","controlled","descriptive_n1_sex_confounded_depth_matched"
"Myh7",0.0950578737836059,0.250035966462134,TRUE,TRUE,TRUE,TRUE,"up_in_KO",0.308537121483798,0.0137271164879327,1.75809530474897,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"other","14","controlled","descriptive_n1_sex_confounded_depth_matched"
