"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",10187,14.8,1.1,16
"CM0","WT",7910,9.6,1.1,10.7
"CM1","KO",8168,2.6,0.8,3.4
"CM1","WT",7623,2.4,0.9,3.3
"CM2","KO",2007,33.1,66.9,100
"CM2","WT",1675,21.3,78.6,99.9
"CM3","KO",1801,0.9,53.9,54.8
"CM3","WT",1329,0.4,50.1,50.5
"CM4","KO",567,10.8,47.8,58.6
"CM4","WT",733,6.8,39.6,46.4
"CM5","KO",86,4.7,1.2,5.8
"CM5","WT",219,0.9,9.1,10
"CM6","KO",44,25,13.6,38.6
"CM6","WT",67,13.4,20.9,34.3
