"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",9727,14.9,1.3,16.3
"CM0","WT",7531,9.2,1.6,10.8
"CM1","KO",8146,2.7,0.8,3.5
"CM1","WT",7697,2.5,0.9,3.3
"CM2","KO",3761,18.9,61.4,80.3
"CM2","WT",2940,13.7,67,80.7
"CM3","KO",529,11.3,49.3,60.7
"CM3","WT",700,7.1,38.4,45.6
"CM4","KO",570,2.8,0.2,3
"CM4","WT",407,3.7,0.7,4.4
"CM5","KO",91,4.4,1.1,5.5
"CM5","WT",219,0.9,9.6,10.5
"CM6","KO",36,30.6,16.7,47.2
"CM6","WT",62,12.9,22.6,35.5
