"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",6188,10.7,2,12.7
"CM0","WT",4897,5.5,2.1,7.6
"CM1","KO",5101,1.7,0.5,2.2
"CM1","WT",5392,2.1,0.8,2.9
"CM2","KO",2579,28.4,0.1,28.5
"CM2","WT",1651,21.7,0.2,21.9
"CM3","KO",2391,5.9,0.4,6.3
"CM3","WT",1798,5,0.4,5.5
"CM4","KO",1860,37.3,62.7,99.9
"CM4","WT",1621,24.6,75.3,99.8
"CM5","KO",1817,0.9,63,63.8
"CM5","WT",1221,0.2,61.3,61.6
"CM6","KO",1210,4.5,0.3,4.9
"CM6","WT",1046,4.8,1.1,5.8
"CM7","KO",1058,1.3,2.6,4
"CM7","WT",949,2.2,2,4.2
"CM8","KO",529,11.3,49.3,60.7
"CM8","WT",700,7.1,38.4,45.6
"CM9","KO",91,4.4,1.1,5.5
"CM9","WT",219,0.9,9.6,10.5
"CM10","KO",36,30.6,16.7,47.2
"CM10","WT",62,12.9,22.6,35.5
