"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.65923205315062,0.708,0.334,0,"CM0","Atf3"
0,1.57483971226593,0.826,0.508,0,"CM0","Fos"
0,1.55977321698156,0.51,0.199,0,"CM0","Fosb"
0,1.42380695906555,0.403,0.179,0,"CM0","Hspa1a"
0,1.39694191449421,0.274,0.121,0,"CM0","Hspa1b"
0,1.38411667452415,0.325,0.147,0,"CM0","Socs3"
0,1.36986853831761,0.346,0.149,0,"CM0","Myc"
0,1.2957167530244,0.317,0.147,0,"CM0","Aldoc"
0,1.25665770191509,0.655,0.359,0,"CM0","Gadd45b"
0,1.25246185978777,0.939,0.546,0,"CM0","Gm10263"
0,1.61331196035906,0.623,0.271,0,"CM1","Hmgcs2"
0,1.3477074220218,0.997,0.944,0,"CM1","mt-Atp8"
0,1.21438114810904,0.457,0.224,0,"CM1","Gm15920"
4.59885025501691e-280,1.19198525365043,0.299,0.144,1.39418744331093e-275,"CM1","Tuba8"
0,1.18098429813732,0.441,0.235,0,"CM1","Scd4"
3.07619975880211e-275,1.14570901454099,0.338,0.178,9.32580718878446e-271,"CM1","Gm47547"
0,1.10771267863273,0.379,0.196,0,"CM1","Slc25a34"
0,1.08863192287076,0.562,0.323,0,"CM1","Plin5"
4.04465925999151e-193,1.06292529152281,0.253,0.13,1.22617890125903e-188,"CM1","Gpd1"
0,0.997454463457862,0.883,0.677,0,"CM1","Tuba4a"
0,2.29966347412756,0.272,0.073,0,"CM2","Gm40841"
0,2.27001460668113,0.282,0.07,0,"CM2","Gm47493"
0,2.26138898220563,0.511,0.174,0,"CM2","Gm43359"
0,2.22814601117029,0.659,0.3,0,"CM2","Cdk8"
0,2.17331376167974,0.786,0.558,0,"CM2","Cmss1"
0,2.05380801664934,0.32,0.101,0,"CM2","Nr3c2"
0,2.04760224003621,0.378,0.109,0,"CM2","Kcnip1"
0,2.04357741989705,0.365,0.148,0,"CM2","Kcnd2"
0,2.00931998919036,0.935,0.736,0,"CM2","Ctnna3"
0,1.97857044178479,0.608,0.272,0,"CM2","Filip1l"
0,3.40793401267188,0.907,0.547,0,"CM3","Nppa"
0,3.26248949756365,0.496,0.229,0,"CM3","Acta1"
7.41414126263496e-185,1.57189291952547,0.294,0.133,2.24767106518042e-180,"CM3","Cnn1"
3.53194267596953e-154,1.45035238196531,0.355,0.192,1.07074374164692e-149,"CM3","Xirp2"
2.85423611904371e-215,1.40544070233092,0.382,0.187,8.65290221849292e-211,"CM3","Casq1"
1.47111493343197e-231,1.40161905408276,0.651,0.472,4.45983203219236e-227,"CM3","Myl4"
1.11137291527594e-136,1.34470075942531,0.331,0.18,3.36923812995053e-132,"CM3","Tceal7"
0,1.32043879675792,0.945,0.807,0,"CM3","Nppb"
2.19566778910693e-139,1.17584867014252,0.382,0.219,6.65638646945657e-135,"CM3","Nmrk2"
5.89134634363794e-192,1.06500965068269,0.458,0.258,1.78602055753728e-187,"CM3","Tpm2"
0,6.37565430462426,0.319,0.004,0,"CM4","Xkr5"
0,6.30510855331779,0.933,0.052,0,"CM4","Prc1"
0,6.16075144299677,0.721,0.015,0,"CM4","Aurkb"
0,6.11734230903287,0.713,0.019,0,"CM4","Pbk"
0,5.98227881901992,0.626,0.017,0,"CM4","Mxd3"
0,5.95030336299216,0.65,0.016,0,"CM4","Esco2"
0,5.93718190896647,0.496,0.01,0,"CM4","Cdca5"
0,5.88894119793175,0.798,0.036,0,"CM4","Aurka"
0,5.8574191574765,0.325,0.006,0,"CM4","Sapcd2"
0,5.78546548789801,0.879,0.042,0,"CM4","Nusap1"
0,2.7339234487965,0.48,0.079,0,"CM5","Cdkn3"
0,2.55587467667984,0.648,0.126,0,"CM5","Ccnb2"
0,2.43012026443442,0.859,0.235,0,"CM5","Lockd"
0,2.33426049333268,0.602,0.141,0,"CM5","Cenpm"
0,2.30051931129107,0.393,0.104,0,"CM5","Gm11837"
0,2.28875404950877,0.792,0.352,0,"CM5","Cenpa"
0,2.26154989344766,0.778,0.159,0,"CM5","Cdca3"
0,2.18713963403497,0.744,0.225,0,"CM5","Cenpw"
0,2.16745320323748,0.995,0.705,0,"CM5","Stmn1"
0,2.16479670004832,0.433,0.112,0,"CM5","Kif20a"
0,4.15154001360826,1,0.161,0,"CM6","Ddc"
1.51794221996368e-30,0.853955642499257,0.262,0.158,4.60179363404189e-26,"CM6","Lrtm1"
2.7313429057299e-18,0.502047718554262,0.334,0.241,8.28033915301078e-14,"CM6","Palmd"
5.38192997629204e-16,0.501858273298308,0.306,0.222,1.63158589161269e-11,"CM6","Fn3k"
3.346713573608e-16,0.500708456526719,0.317,0.232,1.014589686975e-11,"CM6","Cmbl"
