"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.92502778676837,0.603,0.201,0,"CM0","Fosb"
0,1.87407224235564,0.786,0.344,0,"CM0","Atf3"
0,1.84649850484409,0.898,0.516,0,"CM0","Fos"
0,1.65787061608801,0.386,0.146,0,"CM0","Socs3"
0,1.53499651845029,0.807,0.444,0,"CM0","Egr1"
0,1.50963085731092,0.38,0.156,0,"CM0","Myc"
0,1.4980722775302,0.734,0.362,0,"CM0","Gadd45b"
0,1.44094647484623,0.491,0.237,0,"CM0","Zfp36"
0,1.39560052180412,0.422,0.192,0,"CM0","Hspa1a"
1.90771544179528e-305,1.39365517951351,0.291,0.129,5.78343013334658e-301,"CM0","Hspa1b"
0,1.57451834171479,0.267,0.098,0,"CM1","Fbp2"
0,1.39591121824981,0.504,0.223,0,"CM1","Gm15920"
0,1.33703734049507,0.591,0.295,0,"CM1","Hmgcs2"
8.69004118008117e-264,1.30979584409762,0.261,0.114,2.63447288415341e-259,"CM1","4631405J19Rik"
5.87539326232408e-285,1.22121827077538,0.314,0.147,1.78118422140617e-280,"CM1","Tuba8"
0,1.17483932222736,0.478,0.236,0,"CM1","Scd4"
3.29565801229602e-251,1.12790510373173,0.316,0.157,9.99111683007663e-247,"CM1","Spata33"
0,1.12283186550999,0.482,0.253,0,"CM1","Ndufb4c"
9.81838677831725e-218,1.12034026849225,0.262,0.124,2.97654213571466e-213,"CM1","Plbd1"
4.49567518006625e-288,1.11109877690936,0.361,0.182,1.36290888758888e-283,"CM1","Ndufs5-ps"
0,4.05107952736056,0.985,0.522,0,"CM2","Nppa"
0,2.07914498635128,0.724,0.454,0,"CM2","Myl4"
6.55931634132343e-141,1.8820523750948,0.371,0.238,1.98852234203561e-136,"CM2","Acta1"
0,1.86372835961797,0.969,0.798,0,"CM2","Nppb"
4.21404946823512e-264,1.85917148025601,0.37,0.184,1.27753123679016e-259,"CM2","Xirp2"
0,1.81172441132379,0.706,0.443,0,"CM2","Myl7"
2.3103117796942e-295,1.69403082054622,0.439,0.232,7.00394119132094e-291,"CM2","Myl1"
8.24413358417699e-278,1.68455091376492,0.301,0.126,2.4992915373791e-273,"CM2","Cnn1"
0,1.58495176720924,0.596,0.358,0,"CM2","Mest"
5.56376205432356e-311,1.51699186278202,0.386,0.179,1.68671010438873e-306,"CM2","Casq1"
0,0.992076866657901,0.993,0.951,0,"CM3","mt-Atp8"
0,0.868698058975816,0.86,0.704,0,"CM3","Gm49708"
0,0.837523940191431,0.999,0.998,0,"CM3","Gm28661"
0,0.787453126029897,0.998,0.989,0,"CM3","Gm29216"
2.48007213676684e-46,0.772041796583124,0.281,0.206,7.51858668982235e-42,"CM3","Gm47547"
0,0.769825226035739,1,1,0,"CM3","mt-Co1"
0,0.692144800903335,1,0.998,0,"CM3","Ttn"
0,0.69211243870383,1,1,0,"CM3","Gm28437"
7.79594780441262e-50,0.689066571329048,0.356,0.276,2.36341953638573e-45,"CM3","Gm49083"
0,6.17659087287532,0.276,0.004,0,"CM4","Xkr5"
0,6.1306652099978,0.598,0.011,0,"CM4","Esco2"
0,6.05149695627562,0.645,0.016,0,"CM4","Pbk"
0,5.93423599786446,0.441,0.008,0,"CM4","Cdca5"
0,5.83992321724605,0.285,0.005,0,"CM4","Haspin"
0,5.80443763464368,0.624,0.015,0,"CM4","Aurkb"
0,5.67087553602489,0.54,0.017,0,"CM4","Mxd3"
0,5.58921469265499,0.399,0.009,0,"CM4","Melk"
0,5.58721024215968,0.788,0.055,0,"CM4","Prc1"
0,5.57837091968141,0.513,0.013,0,"CM4","Sgo1"
0,3.12200929091669,0.287,0.037,0,"CM5","Gm42639"
0,2.63891978079059,0.378,0.074,0,"CM5","Gm47493"
0,2.61883721951296,0.648,0.182,0,"CM5","Gm43359"
0,2.55659701565876,0.33,0.08,0,"CM5","Gm40841"
0,2.45294822196658,0.462,0.152,0,"CM5","Kcnd2"
0,2.40702178642933,0.408,0.106,0,"CM5","Nr3c2"
0,2.38241676445129,0.99,0.743,0,"CM5","Ctnna3"
0,2.31249302201801,0.304,0.093,0,"CM5","Fgf14"
0,2.29695576759282,0.705,0.283,0,"CM5","Filip1l"
0,2.29167567001688,0.425,0.117,0,"CM5","Prkn"
0,3.00799618761554,0.827,0.127,0,"CM6","Ccnb2"
0,2.93998465995129,0.551,0.084,0,"CM6","Cdkn3"
0,2.80035878334046,0.951,0.353,0,"CM6","Cenpa"
0,2.66306412285149,0.917,0.165,0,"CM6","Cdca3"
0,2.66279265561877,0.627,0.107,0,"CM6","Kif20a"
0,2.57529799067921,0.627,0.105,0,"CM6","Knstrn"
0,2.56909515451994,0.407,0.077,0,"CM6","Cip2a"
0,2.5381461038087,0.886,0.247,0,"CM6","Lockd"
0,2.47341610329462,0.644,0.149,0,"CM6","Cenpm"
0,2.33195381829093,0.782,0.234,0,"CM6","Cenpw"
0,2.74809493678058,0.951,0.568,0,"CM7","Cmss1"
0,2.61481686456017,0.299,0.051,0,"CM7","Gm48099"
0,2.59065445355264,0.327,0.058,0,"CM7","Gm19951"
0,2.40538627984083,0.554,0.122,0,"CM7","Kcnip1"
0,2.38444262332481,0.766,0.325,0,"CM7","Cdk8"
1.11914959050041e-289,1.97106162020006,0.273,0.065,3.39281389856103e-285,"CM7","Camk1d"
0,1.86385747651147,0.999,0.942,0,"CM7","Gm42418"
1.759952010034e-178,1.82058385920211,0.312,0.115,5.33547051361907e-174,"CM7","mt-Co3"
1.30894787815305e-318,1.3531218042474,0.738,0.406,3.96820638740878e-314,"CM7","Gphn"
0,1.25326733999758,1,1,0,"CM7","mt-Rnr1"
0,7.78774031236221,0.321,0.004,0,"CM8","Car4"
0,7.54852424356049,0.36,0.005,0,"CM8","Sox17"
