"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",3946,1.4,0.4,1.8
"CM0","WT",3875,1.7,0.8,2.5
"CM1","KO",3225,14,0.2,14.1
"CM1","WT",2858,9.5,0.6,10.1
"CM2","KO",3455,17.9,0.7,18.6
"CM2","WT",1499,10.3,0.8,11.1
"CM3","KO",1928,10.6,3,13.6
"CM3","WT",2110,7.9,1.8,9.7
"CM4","KO",1967,36.9,63.1,100
"CM4","WT",1670,22.6,77.4,100
"CM5","KO",2045,5.1,1.1,6.2
"CM5","WT",1567,5.3,1.3,6.6
"CM6","KO",1792,0.8,59.4,60.3
"CM6","WT",1183,0.3,56.3,56.6
"CM7","KO",804,12.7,3.2,15.9
"CM7","WT",1289,7.3,2.2,9.5
"CM8","KO",1107,1.3,3,4.2
"CM8","WT",970,2.3,2,4.2
"CM9","KO",1075,5.4,0.2,5.6
"CM9","WT",879,5.1,1.4,6.5
"CM10","KO",545,11.9,49.7,61.7
"CM10","WT",741,6.7,39.1,45.9
"CM11","KO",522,6.5,0.2,6.7
"CM11","WT",375,3.5,0.5,4
"CM12","KO",329,4,0,4
"CM12","WT",257,1.2,0,1.2
"CM13","KO",84,4.8,1.2,6
"CM13","WT",220,0.9,9.5,10.5
"CM14","KO",36,30.6,16.7,47.2
"CM14","WT",63,14.3,22.2,36.5
