"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.82873106183877,0.559,0.21,0,"CM0","Hmgcs2"
0,1.75385281824059,0.251,0.1,0,"CM0","Lrtm1"
0,1.62993771736815,0.288,0.105,0,"CM0","Tuba8"
4.73118694589187e-190,1.61390405566014,0.253,0.152,1.43430663451658e-185,"CM0","Ddc"
0,1.59658483476442,0.429,0.182,0,"CM0","Scd4"
0,1.42565616369302,0.436,0.214,0,"CM0","Gm31251"
0,1.41465885939524,0.364,0.152,0,"CM0","Slc25a34"
0,1.4061947301905,0.435,0.221,0,"CM0","D830005E20Rik"
0,1.36737126375925,0.468,0.245,0,"CM0","Neat1"
0,1.36668301881126,0.358,0.158,0,"CM0","Paqr9"
0,1.76314717238386,0.656,0.304,0,"CM1","Atf3"
0,1.71735483469145,0.382,0.155,0,"CM1","Hspa1a"
0,1.6968468588898,0.706,0.51,0,"CM1","Nppa"
0,1.65191842812484,0.935,0.753,0,"CM1","Nppb"
0,1.64489958581428,0.263,0.102,0,"CM1","Hspa1b"
0,1.60746182211023,0.792,0.477,0,"CM1","Fos"
0,1.53242359605942,0.46,0.178,0,"CM1","Fosb"
0,1.36945195973181,0.297,0.135,0,"CM1","Socs3"
0,1.35436082476964,0.385,0.218,0,"CM1","Abra"
0,1.27342068094422,0.309,0.139,0,"CM1","Myc"
0,6.02253882137839,0.617,0.032,0,"CM2","Ccnb1"
0,5.98393741742689,0.408,0.01,0,"CM2","Nek2"
0,5.9495374437342,0.618,0.023,0,"CM2","Hmmr"
0,5.91028216126938,0.412,0.009,0,"CM2","Depdc1a"
0,5.72891660623695,0.329,0.009,0,"CM2","Plk1"
0,5.72103938200074,0.582,0.043,0,"CM2","Prc1"
0,5.71921568373252,0.695,0.045,0,"CM2","Ccna2"
0,5.66778122754336,0.618,0.038,0,"CM2","Cenpf"
0,5.63549772958021,0.505,0.026,0,"CM2","Aurka"
0,5.58667889907314,0.728,0.049,0,"CM2","Cdca8"
0,7.72579566800515,0.347,0.004,0,"CM3","Car4"
0,7.44109038302562,0.417,0.007,0,"CM3","Timp4"
0,7.40576961036216,0.714,0.031,0,"CM3","Cldn5"
0,7.39747963801846,0.386,0.005,0,"CM3","Sox17"
0,7.16745440108107,0.7,0.026,0,"CM3","Gpihbp1"
0,7.14771615413021,0.512,0.01,0,"CM3","Ly6a"
0,7.02169780001032,0.701,0.024,0,"CM3","Apold1"
0,7.0154987342019,0.645,0.022,0,"CM3","Ly6c1"
0,6.86152752241348,0.484,0.011,0,"CM3","Myct1"
0,6.79932569614088,0.729,0.034,0,"CM3","Esam"
0,4.86494902382367,0.998,0.239,0,"CM4","Acta1"
2.22219098097166e-111,2.27782284875821,0.387,0.144,6.73679417791368e-107,"CM4","Cnn1"
5.57665618491958e-150,2.16982454763263,0.31,0.078,1.69061908902022e-145,"CM4","4833412C05Rik"
2.25647315173495e-107,2.07602747078124,0.449,0.189,6.84072400679967e-103,"CM4","Tceal7"
3.71416176350308e-86,1.67494309540204,0.443,0.201,1.12598528022359e-81,"CM4","Casq1"
1.59057834573294e-67,1.65551794175356,0.421,0.204,4.82199731292398e-63,"CM4","Xirp2"
4.36216429489152e-68,1.61005869489707,0.284,0.109,1.32243372763931e-63,"CM4","Krt18"
2.83247184553945e-76,1.52161023032013,0.469,0.23,8.58692164693739e-72,"CM4","Nmrk2"
1.09707779071146e-55,1.51721759834198,0.251,0.099,3.32590103032086e-51,"CM4","Gm11627"
0,9.62500814757709,0.948,0.012,0,"CM5","Sln"
0,8.38309871837187,0.819,0.009,0,"CM5","Mybphl"
0,8.067219651564,0.632,0.012,0,"CM5","Fgf12"
0,7.60283169674662,0.297,0.002,0,"CM5","Nr2f1"
0,6.84682694307418,0.374,0.01,0,"CM5","Bmp2"
0,6.04612626811823,0.594,0.027,0,"CM5","Slc22a1"
0,5.75818273209654,0.284,0.009,0,"CM5","Slc39a8"
3.20345329589601e-236,5.63914445631866,1,0.474,9.71158901183835e-232,"CM5","Myl7"
0,5.50469813500284,0.265,0.007,0,"CM5","Plppr5"
2.40111066291821e-253,5.26340092187658,0.306,0.021,7.27920708570285e-249,"CM5","Adamts8"
0,14.7429586677523,0.265,0,0,"CM6","Tpsg1"
0,14.5064062370447,0.439,0.003,0,"CM6","Cma1"
0,14.3915575168314,0.286,0.001,0,"CM6","Mcpt4"
0,14.335777609172,0.439,0.004,0,"CM6","Tpsb2"
0,14.0502068673345,0.265,0,0,"CM6","Trbc1"
0,13.6466650068935,0.408,0,0,"CM6","Mrgprb2"
0,13.5525075130692,0.429,0,0,"CM6","Il1rl1"
0,13.5255094772311,0.439,0.006,0,"CM6","Cpa3"
0,13.4626188972066,0.418,0.001,0,"CM6","Tpsab1"
0,13.374860391432,0.276,0,0,"CM6","Fcer1a"
