"subcluster","n_cells","n_KO_samp","n_WT_samp","design","status","n_DE_absLFC_gt1","top_KO_up","top_KO_down"
"CM0",9830,4,4,"~timepoint + condition","ok",199,"Gabbr2,Tcf4,Adamts9,Ppfia2,Tafa2,Ralyl","Rpl39l,Nptx2,Snord118,Gm46344,Exoc3l2,C030005K06Rik"
"CM1",4950,4,4,"~timepoint + condition","ok",68,"Gabbr2,Gm12381,Tcf4,Adamts9,Ralyl,Hbb-bh1","Gm48483,Chac1,Ano2,Gm17021,Tmem163,Dscam"
"CM2",4446,4,4,"~timepoint + condition","ok",222,"Gm14296,Gabbr2,Hbb-bh1,Rsad2,Tcf4,Adamts9","Gm10451,Ndp,B230206H07Rik,9130019P16Rik,Dscam,2310015A16Rik"
"CM3",3707,4,4,"~timepoint + condition","ok",122,"Gm14443,1700031P21Rik,Qrfprl,Gabbr2,Tcf4,Parpbp","Snord14d,Tmem163,Mir142hg,2310015A16Rik,Itgb6,Nptx2"
"CM4",3686,4,4,"~timepoint + condition","ok",262,"Gabbr2,Tcf4,Gm10640,Rhox5,Gm12381,Camk2n2","Csta2,Rpl39l,Ano2,2900052N01Rik,Tmem163,Chac1"
"CM5",3372,4,4,"~timepoint + condition","ok",75,"Gabbr2,Tcf4,Rhox5,Adamts9,Ralyl,Gm12381","G530012D18Rik,Tmem163,Itgb6,Pcdhb5,Rtn4r,Ninj2"
"CM6",3095,4,4,"~timepoint + condition","ok",164,"Gabbr2,Dscc1,Tcf4,Adamts9,Gm12381,Mcm2","Gm28981,Sorcs3,Tmem163,Ano2,Nptx2,Gm49003"
"CM7",2278,4,4,"~timepoint + condition","ok",111,"Gabbr2,Aqp9,Tcf4,Gm12381,Adamts9,Ralyl","B230206H07Rik,Spef1,Nptx2,Acer2,Dscam,Alpl"
"CM8",1951,2,2,"~condition","ok",190,"Gabbr2,Zfp616,Tcf4,Gm19252,Adamts9,Tafa2","Gm46606,Gm26916,Dock9,Gm8942,S100a8,Myo16"
"CM9",1679,4,4,"~timepoint + condition","ok",45,"Hbb-bh1,Gabbr2,Tcf4,Adamts9,Ralyl,Gm12381","Gm31508,B230206H07Rik,Tmem163,Fcrl5,Tnfaip2,Nptx2"
"CM10",1308,4,4,"~timepoint + condition","ok",87,"Cntn2,Gabbr2,Cd74,Ahsg,Cytl1,Gm14296","Ifitm6,Clec7a,C5ar1,Cd300lf,S100a8,Lilrb4a"
"CM11",765,4,4,"~timepoint + condition","ok",41,"Gabbr2,Tcf4,Adamts9,Tafa2,Ralyl,Mybpc1","BC037032,Nptx2,Aox4,AW554918,Acer2,Kpna2"
"CM12",604,4,4,"~timepoint + condition","ok",40,"Gabbr2,Tcf4,Adamts9,Serpina3n,Gm40318,Tafa2","Dcpp2,Dock9,Gm31045,Scn4b,4633401B06Rik,Mettl18"
"CM13",329,4,4,"~timepoint + condition","ok",21,"Tcf4,Gabbr2,Adamts9,A930001M01Rik,Bcr,Rab6a","Acer2,mt-Nd4l,mt-Atp8,Gm28438,mt-Tn,mt-Co2"
"CM14",305,2,2,"~condition","ok",207,"Gabbr2,Tcf4,Gm11290,Ddit4l,Dpy19l2,Rtn1","Bmp10,Smim41,Cdh20,Gm34544,Fbxo33,Smoc2"
"CM15",111,0,2,NA,"skipped_too_few_or_unbalanced",NA,NA,NA
