"cm_subtype","P0KO","P0WT","P7KO","P7WT","P0_log2FC_KOvsWT","P7_log2FC_KOvsWT"
"Atrial",0.0061,0.0161,0,0,-1.378,0
"Ventricular",0.9939,0.9839,1,1,0.014,0
