"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",9844,15.9,1.1,17.1
"CM0","WT",7641,10.7,1.3,12
"CM1","KO",7731,2.4,0.8,3.2
"CM1","WT",7369,2.5,0.8,3.3
"CM2","KO",3578,16.5,64.9,81.4
"CM2","WT",2769,9.8,71.5,81.3
"CM3","KO",545,11.9,49.7,61.7
"CM3","WT",742,6.7,39.1,45.8
"CM4","KO",714,4.6,0.1,4.8
"CM4","WT",496,3.6,0.4,4
"CM5","KO",328,4,0,4
"CM5","WT",256,1.2,0,1.2
"CM6","KO",84,4.8,1.2,6
"CM6","WT",220,0.9,9.5,10.5
"CM7","KO",36,30.6,16.7,47.2
"CM7","WT",63,14.3,22.2,36.5
