"pathway","WT","KO","diff_KO_WT"
"COLLAGEN",40.2602,48.8827,8.6225
"THBS",6.8646,9.4273,2.5627
"FN1",8.9744,11.5282,2.5538
"LAMININ",26.0104,28.4485,2.4381
"MK",5.3653,6.4052,1.0399
"GALECTIN",1.7669,2.6766,0.9097
"APP",0.7627,1.5204,0.7577
"PTN",3.9466,4.5476,0.601
"CypA",2.4792,3.0332,0.554
"ESAM",0.7835,1.216,0.4325
"HSPG",1.7146,2.1394,0.4248
"ADGRE",1.0526,1.3989,0.3463
"GAP",2.0216,1.6777,-0.3439
"ApoE",0.2816,0.5848,0.3032
"Glutamate",0.2633,0,-0.2633
"TENASCIN",0.8978,1.1247,0.2269
"NPR1",0.2404,0.4366,0.1962
"MIF",1.9574,2.1336,0.1762
"VISFATIN",0.3256,0.152,-0.1736
"SEMA3",0.5565,0.7114,0.1549
"MPZ",0.2375,0.3911,0.1536
"NOTCH",1.3161,1.4609,0.1448
"ADGRA",0.3448,0.4637,0.1189
"EPHA",0.1365,0.2472,0.1107
"PERIOSTIN",0.745,0.8543,0.1093
"GAS",0.7429,0.8367,0.0938
"PECAM2",0.143,0.0517,-0.0913
"JAM",0.3445,0.4253,0.0808
"BMP",0.1513,0.0786,-0.0727
"CDH",0.527,0.5943,0.0673
"CDH5",0.2455,0.3119,0.0664
"PECAM1",0.2426,0.3047,0.0621
"CHEMERIN",0.0608,0,-0.0608
"ADGRL",0.1873,0.1267,-0.0606
"SEMA4",0.2512,0.3034,0.0522
"CLDN",0.0121,0.0643,0.0522
"MMP",0.0514,0,-0.0514
"ADGRG",0.9315,0.8834,-0.0481
"ANGPTL",0.7682,0.7208,-0.0474
"VEGF",0.3899,0.3495,-0.0404
"NECTIN",0.075,0.0385,-0.0365
"OSM",0,0.0357,0.0357
"SEMA6",0.2106,0.1765,-0.0341
"VCAM",0.0948,0.061,-0.0338
"CSF",0.0982,0.0657,-0.0325
"AGRN",0.9304,0.9625,0.0321
"EPHB",0.1119,0.1439,0.032
"GRN",0.032,0,-0.032
"EGF",0.0324,0.0615,0.0291
"SEMA5",0.0049,0.0328,0.0279
"SEMA7",0.1205,0.1458,0.0253
"TNF",0.1148,0.1397,0.0249
"CSPG4",0.0281,0.0485,0.0204
"IL10",0.0535,0.0737,0.0202
"PROS",0.2268,0.2461,0.0193
"Netrin",0.0607,0.0792,0.0185
"CD39",0.0066,0.0242,0.0176
"PTPRM",0.2123,0.2295,0.0172
"CD45",0.0823,0.0659,-0.0164
"EDN",0.0389,0.055,0.0161
"Cholesterol",0.0885,0.1044,0.0159
"CCL",0.2041,0.2192,0.0151
"ncWNT",0.0426,0.0575,0.0149
"UNC5",0.0578,0.043,-0.0148
"IL1",0.0133,0,-0.0133
"CD86",0.1116,0.1246,0.013
"PDGF",0.0683,0.0558,-0.0125
"NCAM",0.3223,0.31,-0.0123
"ICAM",0.1078,0.1197,0.0119
"DHEAS",0.0369,0.0251,-0.0118
"IGFBP",0.0468,0.0583,0.0115
"APJ",0.0145,0.0259,0.0114
"Prostaglandin",0.0782,0.0891,0.0109
"IGF",0.0576,0.068,0.0104
"THY1",0.01,0,-0.01
"COMPLEMENT",0.1507,0.1426,-0.0081
"FLRT",0.0175,0.0095,-0.008
"CD80",0.0172,0.0245,0.0073
"CXCL",0.0916,0.0849,-0.0067
"CADM",0.0736,0.0676,-0.006
"KLK",0.0179,0.0234,0.0055
"WNT",0.0184,0.013,-0.0054
"LAIR1",0.0314,0.0365,0.0051
"VWF",0.0037,0,-0.0037
"TGFb",0.3458,0.3427,-0.0031
"KIT",0.0096,0.007,-0.0026
"SLIT",0.0076,0.0051,-0.0025
"NTS",0.0019,0,-0.0019
"PCDH",1e-04,0,-1e-04
