"sub","n","pct_S","pct_G2M","pct_G1","mean_S.Score","mean_G2M.Score","mean_cyc_score","cycling_fraction","is_cycling"
"CM0",7821,1.54711673699015,0.600946170566424,97.8519370924434,-0.127514336677226,-0.165731904769364,0.050529752306132,0.0214806290755658,FALSE
"CM1",6083,11.8855827716587,0.378102909748479,87.7363143185928,-0.0931734588354505,-0.157827201263198,0.0449987932178529,0.122636856814072,FALSE
"CM2",4954,15.6237383932176,0.726685506661284,83.6495761001211,-0.0734648295285387,-0.135997446709857,0.0511423273202173,0.163504238998789,FALSE
"CM3",4038,9.21248142644874,2.35264982664685,88.4348687469044,-0.119924145570109,-0.168895685770707,0.0645671114050932,0.115651312530956,FALSE
"CM4",3637,30.3271927412703,69.6728072587297,0,0.330678994244111,0.630433331230077,1.40706256423627,1,TRUE
"CM5",3612,5.17718715393134,1.16279069767442,93.6600221483942,-0.119413637039863,-0.162405557999438,0.0549881940319261,0.0633997785160576,FALSE
"CM6",2975,0.605042016806723,58.1848739495798,41.2100840336134,-0.0515244399886985,0.14098506613928,0.559631075566056,0.587899159663866,TRUE
"CM7",2093,9.36454849498328,2.58002866698519,88.0554228380315,-0.0966652998250793,-0.148304111826957,0.0665690476505908,0.119445771619685,FALSE
"CM8",2077,1.73326913818007,2.50361097737121,95.7631198844487,-0.126011236818265,-0.158084313179611,0.067742185369251,0.0423688011555128,FALSE
"CM9",1954,5.27123848515865,0.716479017400205,94.0122824974411,-0.115480189911009,-0.159363397405831,0.0554623760978981,0.0598771750255885,FALSE
"CM10",1286,8.94245723172628,43.6236391912908,47.4339035769829,-0.0556609006179091,0.0110338649690145,0.340823628447137,0.525660964230171,TRUE
"CM11",897,5.2396878483835,0.334448160535117,94.4258639910814,-0.122530069009659,-0.165442388343462,0.0477062989149238,0.0557413600891862,FALSE
"CM12",586,2.73037542662116,0,97.2696245733788,-0.151109934015992,-0.201560886000527,0.0347740725614982,0.0273037542662116,FALSE
"CM13",304,1.97368421052632,7.23684210526316,90.7894736842105,-0.128717969483193,-0.124459990525969,0.11978968359551,0.0921052631578947,FALSE
"CM14",99,20.2020202020202,20.2020202020202,59.5959595959596,-0.00398710036485394,0.0222110138729805,0.300626987398732,0.404040404040404,FALSE
