"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.85941357549468,0.597,0.213,0,"CM0","Fosb"
0,1.83591358523739,0.408,0.147,0,"CM0","Socs3"
0,1.76301780204445,0.866,0.534,0,"CM0","Fos"
0,1.55186385994847,0.507,0.24,0,"CM0","Zfp36"
0,1.54266933307488,0.389,0.161,0,"CM0","Myc"
0,1.50796039453399,0.735,0.372,0,"CM0","Gadd45b"
0,1.47698340920096,0.792,0.454,0,"CM0","Egr1"
0,1.33818969420684,0.675,0.362,0,"CM0","Nr4a1"
0,1.26324521359884,0.656,0.343,0,"CM0","Junb"
6.79822147701625e-257,1.49872788399161,0.25,0.098,2.06094882297225e-252,"CM1","Scgb1c1"
6.65270798603086e-260,1.37541379055016,0.267,0.108,2.01683495304512e-255,"CM1","Fbp2"
0,1.29775620892056,0.51,0.239,0,"CM1","Gm15920"
3.03268141250105e-208,1.27108001766029,0.268,0.122,9.19387697013819e-204,"CM1","4631405J19Rik"
0,1.22558061219331,0.59,0.312,0,"CM1","Hmgcs2"
1.12525035918033e-215,1.15985293220456,0.32,0.156,3.41130898889108e-211,"CM1","Tuba8"
2.15344548119554e-238,1.08884215397881,0.453,0.262,6.5283853207924e-234,"CM1","Ttc27"
0,1.07305997305735,0.787,0.552,0,"CM1","Gm44386"
3.42565591251452e-215,1.04951571746455,0.392,0.214,1.0385218464379e-210,"CM1","H4c8"
1.11491332772442e-304,1.04842307890357,0.491,0.265,3.37997124432935e-300,"CM1","Ndufb4c"
0,1.16370803807104,0.995,0.951,0,"CM2","mt-Atp8"
0,0.93400132787063,0.872,0.702,0,"CM2","Gm49708"
0,0.922158938507901,1,1,0,"CM2","mt-Co1"
0,0.864649331328862,0.999,0.998,0,"CM2","Gm28661"
3.29942794372794e-63,0.853549780569117,0.297,0.205,1.00025457542056e-58,"CM2","Gm47547"
2.85751344316569e-73,0.765716607562977,0.379,0.274,8.66283775430112e-69,"CM2","Gm49083"
0,0.753400164809142,1,1,0,"CM2","Gm28437"
0,0.751322337758616,0.999,0.99,0,"CM2","Gm29216"
0,0.736031596731571,1,1,0,"CM2","Gm10925"
0,3.23441261995981,0.282,0.033,0,"CM3","Gm42639"
0,2.88151404386018,0.252,0.058,0,"CM3","Pdzrn4"
0,2.67787308322385,0.34,0.075,0,"CM3","Gm40841"
0,2.64979266750512,0.636,0.176,0,"CM3","Gm43359"
0,2.63472139789994,0.365,0.071,0,"CM3","Gm47493"
0,2.51184561360756,0.46,0.148,0,"CM3","Kcnd2"
0,2.44841835303038,0.41,0.101,0,"CM3","Nr3c2"
0,2.40611401896261,0.99,0.74,0,"CM3","Ctnna3"
0,2.28401115426947,0.622,0.229,0,"CM3","Rgs6"
0,2.27404344954104,0.298,0.09,0,"CM3","Fgf14"
0,6.18752621647793,0.316,0.005,0,"CM4","Xkr5"
0,6.1010558549668,0.728,0.018,0,"CM4","Pbk"
0,6.04087051185297,0.668,0.014,0,"CM4","Esco2"
0,5.98861051578526,0.717,0.016,0,"CM4","Aurkb"
0,5.96114180209063,0.909,0.055,0,"CM4","Prc1"
0,5.89180829665525,0.498,0.01,0,"CM4","Cdca5"
0,5.85436693793856,0.624,0.017,0,"CM4","Mxd3"
0,5.75895750110952,0.321,0.006,0,"CM4","Haspin"
0,5.73254193515288,0.592,0.014,0,"CM4","Sgo1"
0,5.670071704292,0.324,0.006,0,"CM4","Sapcd2"
0,3.61312641177375,1,0.546,0,"CM5","Nppa"
2.63227631743485e-299,1.46207004503473,0.699,0.468,7.9800088839355e-295,"CM5","Myl4"
0,1.44523918156998,0.969,0.808,0,"CM5","Nppb"
1.30777637451272e-211,1.44319272737268,0.396,0.189,3.96465485697276e-207,"CM5","Casq1"
3.12847456672267e-98,1.35503075440043,0.335,0.197,9.48428349647645e-94,"CM5","Xirp2"
1.04741760647987e-161,1.11644914516161,0.571,0.373,3.17535121580436e-157,"CM5","Mest"
9.92763352213871e-249,1.10278865506669,0.623,0.37,3.00966137857157e-244,"CM5","Slc6a6"
4.77516950871277e-128,1.04600565921486,0.415,0.245,1.44764038826136e-123,"CM5","Myl1"
0,2.71519840103714,0.486,0.081,0,"CM6","Cdkn3"
0,2.62147020623149,0.696,0.125,0,"CM6","Ccnb2"
0,2.40998904629486,0.87,0.237,0,"CM6","Lockd"
0,2.38454147161512,0.848,0.35,0,"CM6","Cenpa"
0,2.37957797479388,0.616,0.142,0,"CM6","Cenpm"
0,2.34048143219424,0.833,0.158,0,"CM6","Cdca3"
0,2.25311945267495,0.385,0.106,0,"CM6","Gm11837"
0,2.22999998518759,0.998,0.707,0,"CM6","Stmn1"
0,2.17946318799132,0.47,0.11,0,"CM6","Kif20a"
0,2.17827581505592,0.747,0.228,0,"CM6","Cenpw"
0,2.81226164616533,0.958,0.568,0,"CM7","Cmss1"
0,2.6230114119491,0.302,0.052,0,"CM7","Gm48099"
0,2.58460977051162,0.327,0.059,0,"CM7","Gm19951"
