"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140236","translation at presynapse",47,-0.772724129729855,-2.03948275383517,3.33459147623589e-06,0.00663917162918565,0.00645038695034683,1261,"tags=60%, list=6%, signal=56%","Rps24/Rpl26/Rps27a/Rps16/Rpl23/Rps14/Rps12/Rpl23a/Rpl27a/Rpl32/Rpl28/Uba52/Rpl22/Rpl27/Rps15a/Rps26/Rpl37rt/Rpl34/Rpl36a/Rpl36/Rplp2/Rpl37a/Rpl35a/Rpl37/Rps27/Rpl38/Rps28/Rpl35"
"GO:0140241","translation at synapse",48,-0.766772205325138,-2.02781257121168,3.0445502751679e-06,0.00663917162918565,0.00645038695034683,1261,"tags=58%, list=6%, signal=55%","Rps24/Rpl26/Rps27a/Rps16/Rpl23/Rps14/Rps12/Rpl23a/Rpl27a/Rpl32/Rpl28/Uba52/Rpl22/Rpl27/Rps15a/Rps26/Rpl37rt/Rpl34/Rpl36a/Rpl36/Rplp2/Rpl37a/Rpl35a/Rpl37/Rps27/Rpl38/Rps28/Rpl35"
"GO:0140242","translation at postsynapse",48,-0.766772205325138,-2.02781257121168,3.0445502751679e-06,0.00663917162918565,0.00645038695034683,1261,"tags=58%, list=6%, signal=55%","Rps24/Rpl26/Rps27a/Rps16/Rpl23/Rps14/Rps12/Rpl23a/Rpl27a/Rpl32/Rpl28/Uba52/Rpl22/Rpl27/Rps15a/Rps26/Rpl37rt/Rpl34/Rpl36a/Rpl36/Rplp2/Rpl37a/Rpl35a/Rpl37/Rps27/Rpl38/Rps28/Rpl35"
"GO:0006119","oxidative phosphorylation",130,-0.666893890686586,-2.03171040687001,1.02035049476716e-05,0.0121891070104885,0.0118425100582134,1006,"tags=36%, list=5%, signal=35%","Cdk1/Ndufb6/mt-Nd5/mt-Nd2/mt-Atp6/Cycs/Ccnb1/Cox6a1/Uqcrh/mt-Co1/Ndufb3/Ndufa12/Ndufb7/Uqcrb/Cox6b1/Ndufa13/Ndufa6/Cox8a/Ndufa7/Cox7a2/Cox5b/Ndufs6/Ndufa11/Cox7b/Uqcrq/Ndufs5/Cox6c/Cox6a2/Ndufv3/Ndufb2/Ndufa1/Ndufa2/Ndufb4/Uqcr10/Uqcr11/Uqcc2/mt-Nd6/Ndufc1/Ndufa5/mt-Nd3/Cox7c/Cox7a1/Cox8b/mt-Nd4l/Ndufa3/mt-Co3/mt-Atp8"
"GO:0044282","small molecule catabolic process",319,0.476880393139877,1.74563210354607,9.41919951459388e-06,0.0121891070104885,0.0118425100582134,3965,"tags=43%, list=19%, signal=35%","Qprt/Acsf3/Dcxr/Gnpda2/Acad12/Gatd1/Upp1/Haghl/Lpin3/Apoe/Auh/Sord/Bckdha/Gapdh/Eno1/Acads/Adh5/Amdhd2/Pck2/Fah/Cdo1/Asrgl1/Cbr1/Echdc2/Pfkp/Pex7/Dera/Etfbkmt/Hmgcl/Pex13/Phyh/Akr1a1/Shmt1/Cryl1/Galk1/Ech1/Hibch/Pgk1/Acaa1a/Ppm1k/Acot8/Decr1/Ldhb/Ftcd/Bdh2/Mccc1/Esd/Renbp/Acaa2/Ilvbl/Strap/Acadvl/Srd5a3/Hibadh/Galt/Foxk1/Gpi1/Gcdh/Khk/Gpt2/Blmh/Gcsh/Oaz1/Etfa/Hacl1/Entpd4/Acot7/Eci1/Sardh/Hadh/Tkfc/Aldh7a1/Adhfe1/Acad8/Nudt7/Echs1/Bckdk/Oat/Ddo/Pon3/Pipox/Bckdhb/Kyat1/Hsd17b10/Hsd17b4/Acad9/Trp53/Mccc2/Aldoa/Pkm/Etfb/Decr2/Yap1/Pfkm/Abhd2/Nudt19/Ahcy/Aldh6a1/Acat1/Gstz1/Ldha/Acsl5/Aasdhppt/Pgm1/Synj2/Pex2/Dlst/Aldh1b1/Nqo2/Tpi1/Hagh/Scp2/Pex5/Cyp27a1/Acaa1b/Park7/Dld/Eci2/Acadl/Lonp2/Ldhd/Mgat1/Dpyd/Abcd1/Abcd4/Tha1/Glo1/Hadhb/Eno2/Got1/Pccb/Slc25a17/Aass/Aldh2/Nudt1/Got2"
"GO:0015986","proton motive force-driven ATP synthesis",53,-0.745286303192243,-1.99750070331385,4.14712714824618e-05,0.0309634880705931,0.0300830420635279,1422,"tags=51%, list=7%, signal=48%","Ndufb10/Ndufc2/Ndufb6/mt-Nd5/mt-Nd2/mt-Atp6/Ndufb3/Ndufa12/Ndufb7/Ndufa13/Ndufa6/Ndufa7/Ndufs6/Ndufa11/Ndufs5/Ndufv3/Ndufb2/Ndufa1/Ndufa2/Ndufb4/mt-Nd6/Ndufc1/Ndufa5/mt-Nd3/mt-Nd4l/Ndufa3/mt-Atp8"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",53,-0.745286303192243,-1.99750070331385,4.14712714824618e-05,0.0309634880705931,0.0300830420635279,1422,"tags=51%, list=7%, signal=48%","Ndufb10/Ndufc2/Ndufb6/mt-Nd5/mt-Nd2/mt-Atp6/Ndufb3/Ndufa12/Ndufb7/Ndufa13/Ndufa6/Ndufa7/Ndufs6/Ndufa11/Ndufs5/Ndufv3/Ndufb2/Ndufa1/Ndufa2/Ndufb4/mt-Nd6/Ndufc1/Ndufa5/mt-Nd3/mt-Nd4l/Ndufa3/mt-Atp8"
"GO:2000018","regulation of male gonad development",11,0.924072056143109,1.8810668849385,3.33359465668588e-05,0.0309634880705931,0.0300830420635279,1,"tags=9%, list=0%, signal=9%","Eif2s3y"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",17,-0.872609887699387,-1.90408307911225,5.59808366678534e-05,0.0371526152685654,0.0360961815847808,843,"tags=65%, list=4%, signal=62%","Cycs/Cox6a1/Cox8a/Cox7a2/Cox5b/Cox7b/Cox6a2/Cox7c/Cox7a1/Cox8b/mt-Co3"
"GO:2000252","negative regulation of feeding behavior",11,-0.918979368605666,-1.81593207987622,9.84474737022768e-05,0.0588026760423699,0.0571306234232265,5,"tags=18%, list=0%, signal=18%","Ceacam2/Cck"
"GO:0051604","protein maturation",496,0.409632376290568,1.55711488217483,0.00013314099407938,0.0722955597851035,0.0702398373549879,4491,"tags=38%, list=21%, signal=31%","Klk1b22/Bace2/Masp1/Tbcc/Tspan17/S100a10/Anxa2/Mvp/Hspb1/Ctsz/Hpn/Dnajb3/Adam9/Ppp1r15a/Ric8a/Pdcl3/Serpine2/Sirt4/Eno1/Dnajb5/Lipt1/Calr3/Pdrg1/Clu/Naglu/Afg3l2/Lipt2/Ppia/Pmpcb/Thbs1/Clpx/Stub1/Cct4/Prdx4/Hspa1l/Ift52/Pik3c3/Nppb/Rce1/Tbcd/Ciao1/Dnaja3/Pgk1/Parl/Pisd/Ctsl/Sdf2/Fn1/Trap1/Ciao2a/Cct5/Myc/Capn2/Rnpep/Ppil2/Ppie/Cct7/Sprtn/Zpr1/Qsox1/Nudcd2/Tor1a/Dpm1/Lgmn/F3/Grn/Flna/Cct3/Atg4b/Pmpca/Cct2/Atp23/Ube4b/Sgta/Pitrm1/Stoml2/Spon1/Aph1a/Selenof/Hspb6/Bag3/Plgrkt/P3h1/P4hb/Hsp90aa1/H13/Gsdmd/Ppic/Insig1/Bag2/Tbce/Ikbkb/Bag5/Ldlrad3/Spcs3/Fuz/Lias/Cct8/Disp1/Cdc123/Ppib/Ahsa1/Nudc/Hspa1a/Unc45b/Hspa4/Metap1/Erp44/Immp1l/Ctnnd1/Aasdhppt/Nfu1/Yae1d1/Dnajc7/Mdm2/Vps35/Ptch1/Pigl/B2m/Hspa8/Gsn/Fkbp1a/Zdhhc9/Vbp1/Lrrk2/Ctsh/Aip/Tbcel/Tmem98/Grpel1/Ece1/Dnajc2/Pigp/Mms19/Qsox2/Lonp2/Fkbp1b/Hsp90ab1/Nlrp1a/Dnajb11/Snapin/Cln5/Sdf2l1/Tspan14/Ric3/Pigk/Enpep/Fkbp8/Ppif/Pigh/Ppil3/Spcs1/Unc45a/Casp9/Dpp9/Mbtps1/Pigs/Pigt/Isca2/Adam19/Casp2/Dnajb6/Pgap3/Cwc27/Spcs2/Hspb2/Hspa13/Pigw/Pcsk4/Pidd1/Dnlz/Prep/Naa20/Furin/Sppl3/Cdc37/Ncstn/Afg3l1/Gpaa1/Dnajb4/Cryab/Fkbp10/Pigo/Dnaja1/Tcp1/Isca1/Casp7/Cntn2"
"GO:0007033","vacuole organization",249,0.49322103983256,1.74564605940039,0.000165800821943354,0.0761791007282812,0.0740129499088026,4621,"tags=42%, list=22%, signal=33%","Stbd1/Gabarapl1/Retreg1/Anxa2/Hps1/Bnip3/Atg101/Rab20/Flcn/Pla2g5/Gabarapl2/Chmp1b/Cln8/Snx7/Hexa/Fez2/Naglu/Chmp5/Trim32/Vps11/Traf6/Retreg3/Atg13/Rnf5/Rab34/Pik3c3/Gusb/Gnptab/Tmem106b/Becn1/Map1lc3a/Chmp2b/Stx12/Spns1/Rraga/Gabarap/Idua/Grn/Arf1/Washc5/Hook2/Chmp2a/Atg4b/Tmem9/Vps33a/Snx4/Ap5z1/Nsfl1c/Bag3/Pink1/Atp6v0c/Gaa/Wipi2/Rab39/Ehmt2/Chmp1a/Rheb/Tom1/Wipi1/Lamtor1/Gm12185/Zranb1/Npr2/Chmp6/Iigp1/Scfd1/Map1lc3b/Vps4a/Vps35/Atg9a/Hspa8/Ccdc115/Pip4k2c/Ephb2/Lrrk2/Lamp2/Ctsd/Mtmr3/Aktip/Chmp7/Snapin/Cln5/Chmp4c/Phf23/Laptm4b/Atg10/Ralb/Mbtps1/C9orf72/Arl8b/Mcoln1/Ap4m1/Vps18/Irgm1/Rab33a/Atg7/Ulk1/Vps4b/Rab3gap2/Tpp1/Atg16l1/Rab7/Tfe3/Tmem199/Rab1b"
"GO:0043603","amide metabolic process",430,0.430993454017408,1.62719983865332,0.000159997576457613,0.0761791007282812,0.0740129499088026,4528,"tags=39%, list=21%, signal=31%","Plpp2/Sphk1/Bace2/Mgst1/Gstt2/Ass1/Gsto1/Gstm1/Gnpda2/Gstm4/Hmgcs2/Oplah/Rtn2/Nit1/Acot9/Ccn1/Apoe/Nmnat3/Snca/Asl/Htra2/Bckdha/Cln8/Sirt4/Hexa/Amdhd2/Clu/Naglu/Asrgl1/Txnrd3/Gstk1/Hmgcl/Vnn1/Shmt1/Gstm6/Dgat1/Efna1/Fh1/Gstm5/Prkcd/Elovl1/Sucla2/Pgk1/Ctsl/Gstt1/Acot8/Ftcd/Gstp1/Becn1/Gss/Nt5c2/Renbp/Apeh/Acaa2/Sirt3/Arl6ip5/Pdk1/B4galt3/Gcdh/Ppcs/Atf4/Gstm2/Acot7/Gstm7/B3galt1/Slc1a1/Sptlc1/Nudt7/Rack1/Suclg1/Spon1/Pdp1/Aph1a/Bckdk/Gsta4/Osbp/Abhd4/P4hb/Pipox/Vdac1/Bckdhb/Gsdmd/Gpx1/Degs1/Mecr/Hsd17b4/Picalm/Trp53/Mccc2/Disp1/Asns/Btd/Pdk3/Rela/Sptssa/Nudt19/Pdha1/Gstp2/Slc35a1/Pdzd11/Acat1/Gstz1/Acsl5/Sod2/Rtn3/Dlst/Pdhb/Cs/Nampt/Coasy/Ethe1/Tnfrsf1a/Hagh/Ctsh/Sptlc2/Mpc1/Ece1/Dld/Unc13a/Pin1/Idh1/Nans/Xpnpep1/Acss2/Abcd1/Enpep/Suclg2/Glo1/Csnk1e/Ormdl3/Pdk2/St3gal2/Ctns/Acsl3/Cth/Rtn1/Aass/Napepld/B3galt4/Mvd/Psap/Elovl7/Plaat1/Cers2/Ide/Abcc1/Smpd2/Gm49405/Pcsk4/Pdhx/Prep/Smpd5/B4galt5/Furin/Elovl6/Ncstn/Asah1/Pmvk/Dyrk1a/Cryab/Cyp4f39/Pla2g15/Glb1/Casp7/Plpp1/B4galt6/Neu1"
"GO:0032892","positive regulation of organic acid transport",48,-0.696278258468152,-1.84138365446409,0.000193193740090625,0.0824247292543786,0.0800809841443318,1808,"tags=25%, list=9%, signal=23%","Dtnbp1/Arl6ip1/Fabp3/Slc38a3/Slc7a5/Dpysl2/Mif/Fxyd1/Slc36a2/Agt/Il1b/Cck"
"GO:0022900","electron transport chain",100,-0.610128567407782,-1.79465659034096,0.000281962184842774,0.112277342004393,0.109084738599173,1023,"tags=36%, list=5%, signal=34%","Uqcc3/Dnajc15/Ndufc2/Por/Cdk1/Ndufb6/mt-Nd5/mt-Nd2/Cycs/Ccnb1/Cox6a1/Uqcrh/mt-Co1/Ndufb3/Ndufa12/Uqcrb/Cox8a/Ndufa7/Cox7a2/Cox5b/Ndufs6/Ndufa11/Cox7b/Uqcrq/Cox6a2/Ndufv3/Uqcr10/Uqcr11/mt-Nd6/Ndufa5/mt-Nd3/Cox7c/Cox7a1/Cox8b/mt-Nd4l/mt-Co3"
"GO:0016236","macroautophagy",332,0.438515200167165,1.6087619291792,0.000315380374181096,0.11773543593648,0.11438763176713,3937,"tags=36%, list=19%, signal=30%","Stbd1/Gabarapl1/Hspb8/Retreg1/Sesn1/Nipsnap1/Tbc1d25/Bnip3/Sqstm1/Atg101/Cdk5rap3/Fbxl4/Zfyve1/Gabarapl2/Htra2/Chmp1b/Snx7/Nipsnap3b/Fez2/Bnip3l/Chmp5/Cttn/Trim32/Traf6/Stub1/Retreg3/Atg13/Rnf5/Pex12/Pik3c3/Phb2/Parl/Rab2b/Tspo/Becn1/Map1lc3a/Chmp2b/Vps37c/Slc25a5/Stx12/Trim13/Calm3/Ubxn6/Qsox1/Pdcd6ip/Rraga/Gabarap/Chmp2a/Atg4b/Sptlc1/Vps33a/Snx4/Ap5z1/Nsfl1c/Bag3/Pink1/Gaa/Rubcn/Vdac1/Wipi2/Pik3r4/Rab39/Trp53/Ehmt2/Vps41/Tex264/Chmp1a/Rheb/Tom1/Aup1/Wipi1/Lamtor1/Znrf2/Gm12185/Tbk1/Pex10/Ddrgk1/Zranb1/Plaa/Fbxo7/Chmp6/Iigp1/Vps25/Scfd1/Kat5/Poldip2/Map1lc3b/Gnai3/Pex2/Vps4a/Vps37b/Atg9a/Wdr81/Fundc1/Timm23/Pip4k2c/Ephb2/Pex5/Lrrk2/Sptlc2/Lamp2/Ctsd/Mtmr3/Eif2s1/Uba5/Snap29/Chmp7/Pim2/Snapin/Fkbp8/Chmp4c/Phf23/Atg10/Ralb/Vcp/C9orf72/Nbr1/Optn/Arl8b/Mcoln1/Ap4m1"
"GO:0035966","response to topologically incorrect protein",141,0.548309354304707,1.82838119520105,0.000380586699473815,0.133720256232771,0.129917924099018,3895,"tags=41%, list=18%, signal=34%","Derl3/Hspb8/Hspb1/Cdk5rap3/Ppp1r15a/Fbxo6/Creb3/Xbp1/Dnajb5/Clu/Thbs1/Stub1/Rpap2/Dnajb9/Edem2/Tmbim4/Bok/Erlec1/Asb11/Tmem33/Ubxn4/Crebrf/Tmbim6/Atf4/Ube2j2/Eif2a/Bag3/Derl1/Thbs4/Cops5/Hsp90aa1/Tmem129/Rnf7/Hspa1a/Vapb/Ddrgk1/Daxx/Erp44/Pmp22/Atxn3/Dab2ip/Jkamp/Pdia6/Derl2/Ufd1/Eif2s1/Ptpn1/Serp2/Sdf2l1/Abcb10/Rxra/Selenos/Stc2/Atf6b/Vcp/Ficd/Ubr4/Optn"
