"timepoint","depth","n_KO","n_WT","median_logit_KO","median_logit_WT","iqr_logit_KO","iqr_logit_WT","KO_minus_WT_median_logit","auc_KO_vs_WT","cliff_delta","frac_P7_KO","frac_P7_WT","median_pP7_KO","median_pP7_WT","neutralised_weights","NOTE"
"P0","matched",6131,6358,-7.96172858807861,-7.28872857395869,2.86460554360713,2.81500122585243,-0.673000014119922,0.416225839640739,-0.167548320718522,0,0.000471846492607738,0.000348428652040195,0.000682729696833634,"Xist","descriptive_n1_sex_confounded_depth_matched"
"P0","raw",6131,6358,-7.96454243362792,-7.31038637790359,2.84106632802767,2.79595135325852,-0.654156055724325,0.416610694807493,-0.166778610385015,0,0.000314564328405159,0.000347449945886548,0.000668112013881628,"Xist","descriptive_n1_sex_confounded_depth_matched"
"P7","matched",5309,3153,6.9205609773229,7.23131700024999,2.57136617750715,2.05120123431324,-0.31075602292709,0.455468954841956,-0.0890620903160871,0.999811640610284,1,0.999013697806691,0.999276955874031,"Xist","descriptive_n1_sex_confounded_depth_matched"
"P7","raw",5309,3153,6.91974192407018,7.25542152029773,2.56491492089031,1.93051610453856,-0.335679596227553,0.448193431532318,-0.103613136935365,0.999811640610284,1,0.999012890439499,0.999294163974216,"Xist","descriptive_n1_sex_confounded_depth_matched"
