"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",4847,1.3,0.5,1.8
"CM0","WT",4983,1.7,0.8,2.5
"CM1","KO",3432,16.7,1.2,17.9
"CM1","WT",1518,9.2,1.6,10.8
"CM2","KO",2613,21.4,0.1,21.5
"CM2","WT",1833,17.3,0.3,17.6
"CM3","KO",1782,9.2,2.5,11.7
"CM3","WT",1925,6.4,1.6,7.9
"CM4","KO",2009,33.2,66.8,100
"CM4","WT",1677,21.8,78.1,99.9
"CM5","KO",1958,6.1,0.5,6.6
"CM5","WT",1414,5.1,0.3,5.4
"CM6","KO",1779,1,54.5,55.5
"CM6","WT",1316,0.5,51,51.4
"CM7","KO",830,14.8,2.9,17.7
"CM7","WT",1448,7.9,1.8,9.7
"CM8","KO",1011,1.1,2.9,4
"CM8","WT",940,2.6,1.9,4.5
"CM9","KO",950,4.6,0.2,4.8
"CM9","WT",729,4.9,0.4,5.3
"CM10","KO",573,10.6,47.6,58.3
"CM10","WT",735,6.8,39.6,46.4
"CM11","KO",449,4.9,0.2,5.1
"CM11","WT",316,3.5,0.6,4.1
"CM12","KO",352,4.8,0,4.8
"CM12","WT",252,0.4,0.8,1.2
"CM13","KO",145,12.4,0.7,13.1
"CM13","WT",184,2.7,0,2.7
"CM14","KO",86,4.7,1.2,5.8
"CM14","WT",219,0.9,9.1,10
"CM15","KO",44,25,13.6,38.6
"CM15","WT",67,13.4,20.9,34.3
