"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",4229,1.2,0.4,1.6
"CM0","WT",4657,1.8,0.9,2.7
"CM1","KO",3527,11.5,0.9,12.4
"CM1","WT",1583,5.9,0.9,6.8
"CM2","KO",2701,28.1,0.3,28.4
"CM2","WT",1930,21.2,0.8,22
"CM3","KO",2488,4.9,0.6,5.5
"CM3","WT",1774,4.1,0.5,4.6
"CM4","KO",1722,7.1,3.1,10.2
"CM4","WT",1800,2.6,1.9,4.4
"CM5","KO",1863,37.2,62.6,99.8
"CM5","WT",1628,24.8,74.9,99.7
"CM6","KO",1814,0.9,63.1,64
"CM6","WT",1251,0.2,60,60.2
"CM7","KO",1124,1.4,2.5,3.9
"CM7","WT",1002,2.4,1.9,4.3
"CM8","KO",742,13.7,4.7,18.5
"CM8","WT",1300,7.7,3.5,11.2
"CM9","KO",834,5.5,0.2,5.8
"CM9","WT",765,5.5,1.2,6.7
"CM10","KO",527,11.4,49.1,60.5
"CM10","WT",700,7.1,38.4,45.6
"CM11","KO",672,4.5,0.3,4.8
"CM11","WT",450,3.3,0.7,4
"CM12","KO",347,4.6,0,4.6
"CM12","WT",267,1.1,0,1.1
"CM13","KO",91,4.4,1.1,5.5
"CM13","WT",221,0.9,9.5,10.4
"CM14","KO",143,13.3,0.7,14
"CM14","WT",166,3,0,3
"CM15","KO",36,30.6,16.7,47.2
"CM15","WT",62,12.9,22.6,35.5
