"sub","Phase","timepoint","genotype","n","frac"
"CM0","G1","P0","KO",3820,0.983268983268983
"CM0","S","P0","KO",48,0.0123552123552124
"CM0","G2M","P0","KO",17,0.00437580437580438
"CM1","G1","P0","KO",615,0.949074074074074
"CM1","S","P0","KO",33,0.0509259259259259
"CM1","G2M","P0","KO",0,0
"CM2","G1","P0","KO",923,0.974656810982049
"CM2","S","P0","KO",18,0.0190073917634636
"CM2","G2M","P0","KO",6,0.00633579725448786
"CM3","G1","P0","KO",575,0.964765100671141
"CM3","S","P0","KO",14,0.023489932885906
"CM3","G2M","P0","KO",7,0.011744966442953
"CM4","G1","P0","KO",0,0
"CM4","S","P0","KO",160,0.217687074829932
"CM4","G2M","P0","KO",575,0.782312925170068
"CM5","G1","P0","KO",1536,0.969085173501577
"CM5","S","P0","KO",32,0.0201892744479495
"CM5","G2M","P0","KO",17,0.0107255520504732
"CM6","G1","P0","KO",374,0.383589743589744
"CM6","S","P0","KO",13,0.0133333333333333
"CM6","G2M","P0","KO",588,0.603076923076923
"CM7","G1","P0","KO",268,0.91156462585034
"CM7","S","P0","KO",7,0.0238095238095238
"CM7","G2M","P0","KO",19,0.0646258503401361
"CM8","G1","P0","KO",1060,0.957542908762421
"CM8","S","P0","KO",14,0.012646793134598
"CM8","G2M","P0","KO",33,0.029810298102981
"CM9","G1","P0","KO",495,0.972495088408644
"CM9","S","P0","KO",12,0.0235756385068762
"CM9","G2M","P0","KO",2,0.00392927308447937
"CM10","G1","P0","KO",188,0.415929203539823
"CM10","S","P0","KO",35,0.0774336283185841
"CM10","G2M","P0","KO",229,0.506637168141593
"CM11","G1","P0","KO",210,0.976744186046512
"CM11","S","P0","KO",5,0.0232558139534884
"CM11","G2M","P0","KO",0,0
"CM12","G1","P0","KO",211,1
"CM12","S","P0","KO",0,0
"CM12","G2M","P0","KO",0,0
"CM13","G1","P0","KO",79,0.94047619047619
"CM13","S","P0","KO",4,0.0476190476190476
"CM13","G2M","P0","KO",1,0.0119047619047619
"CM14","G1","P0","KO",12,0.6
"CM14","S","P0","KO",4,0.2
"CM14","G2M","P0","KO",4,0.2
"CM0","G1","P7","KO",54,0.885245901639344
"CM0","S","P7","KO",7,0.114754098360656
"CM0","G2M","P7","KO",0,0
"CM1","G1","P7","KO",2154,0.835855646100116
"CM1","S","P7","KO",418,0.16220411331005
"CM1","G2M","P7","KO",5,0.00194024058983314
"CM2","G1","P7","KO",1888,0.752791068580542
"CM2","S","P7","KO",602,0.240031897926635
"CM2","G2M","P7","KO",18,0.00717703349282297
"CM3","G1","P7","KO",1091,0.819069069069069
"CM3","S","P7","KO",191,0.143393393393393
"CM3","G2M","P7","KO",50,0.0375375375375375
"CM4","G1","P7","KO",0,0
"CM4","S","P7","KO",565,0.458603896103896
"CM4","G2M","P7","KO",667,0.541396103896104
"CM5","G1","P7","KO",383,0.832608695652174
"CM5","S","P7","KO",72,0.156521739130435
"CM5","G2M","P7","KO",5,0.0108695652173913
"CM6","G1","P7","KO",338,0.413708690330477
"CM6","S","P7","KO",2,0.00244798041615667
"CM6","G2M","P7","KO",477,0.583843329253366
"CM7","G1","P7","KO",408,0.8
"CM7","S","P7","KO",95,0.186274509803922
"CM7","G2M","P7","KO",7,0.0137254901960784
"CM8","G1","P7","KO",0,0
"CM8","S","P7","KO",0,0
"CM8","G2M","P7","KO",0,0
"CM9","G1","P7","KO",520,0.918727915194346
"CM9","S","P7","KO",46,0.0812720848056537
