"bin","n_P0","n_P7","w","P0","P7"
"[1.5e+03,2e+03]",2350,1424,1424,16.8085106382979,19.7331460674157
"(2e+03,2.5e+03]",2922,1564,1564,12.3887748117728,16.2404092071611
"(2.5e+03,3e+03]",4915,2035,2035,8.1586978636826,13.4643734643735
"(3e+03,3.5e+03]",5903,2598,2598,8.538031509402,15.5504234026174
"(3.5e+03,4e+03]",4401,2582,2582,11.9518291297432,17.6607281177382
"(4e+03,5e+03]",3561,3778,3561,26.5374894692502,29.3276866066702
"(5e+03,Inf]",1230,3153,1230,56.3414634146341,31.8426895020615
