"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",7967,2.6,0.7,3.3
"CM0","WT",6958,2.4,1,3.3
"CM1","KO",5644,15.8,5.6,21.4
"CM1","WT",5630,9.9,4.4,14.2
"CM2","KO",6188,10.4,4.7,15.1
"CM2","WT",4085,5.8,2.9,8.6
"CM3","KO",2492,26.6,73.4,100
"CM3","WT",2070,16.7,83.3,100
"CM4","KO",569,12.1,48.9,61
"CM4","WT",813,7.4,37.5,44.9
