"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","celltype","timepoint"
"HALLMARK_E2F_TARGETS",0.00053379373723491,0.0214585082368434,0.477270815362862,0.524919304563138,1.66158614626329,199,"Myc,Hmgb2,Aurka,Cdca8,Cdc20,Tubb5,Tfrc,E2f8,Mthfd2,Tra2b,Kif22,Mki67,Mxd3,Rrm2,Pole4,Cdc25b,Top2a,Cdk1,Cdkn2c,Tacc3,Cenpm,Racgap1,Hmgb3,Mcm2,Stmn1,Birc5,Cdca3,Orc6,Pms2,Cdk4,Mcm4,Mcm3,Cks1b,Anp32e,Mcm7,Dut,Trip13,Prps1,Trp53,Nup107,Rad51ap1,Rbbp7,Nudt21,Dek,H2az1,Suv39h1,Asf1a,Spc25,Prdx4,Spag5,Ccne1,Diaph3,Rfc3,Ranbp1,Nop56,Cks2,Orc2,Rnaseh2a,Nap1l1,Smc6,Bard1,Nasp,Lmnb1,Bub1b,Mcm6,Aurkb,Ssrp1,Mcm5,Gins1,Timeless,Phf5a,Pnn,Cit,Asf1b,Ctps,Ung,Pa2g4,Pole,Rfc1,Snrpb,Plk1,Wee1,Paics,Rpa1,Rpa2,Plk4,Tubg1,Psip1,Rad21,Ran,Tmpo,Hmmr","Cardiomyocyte(cardiac-subset)","P7"
"HALLMARK_E2F_TARGETS",0.00143250472498283,0.0234755459552518,0.45505986738723,0.508826324025828,1.68582200592789,199,"Cdkn1a,Myc,Ccne1,Dscc1,Mybl2,Orc6,Cdca3,Cks2,Brca1,Rfc3,E2f8,Dut,Rrm2,Asf1a,Tfrc,Orc2,Nasp,Hmgb3,Hmgb2,Prim2,Racgap1,Pole4,Lmnb1,Tubb5,Dek,Tk1,Gins1,Lig1,Brca2,Rpa2,Cdk1,Plk4,Tipin,H2az1,Anp32e,Rbbp7,Suv39h1,Pcna,Birc5,Mcm6,Nudt21,Diaph3,Tcf19,Nup107,Mad2l1,Usp1,Mcm3,Mcm7,Mms22l,Hnrnpd,Mcm4,Ccnb2,Cdk4,Cenpm,Cnot9,Paics,Dck,Cks1b,Stmn1,Eed,Mcm5,Dnmt1,Ube2t,Tmpo,Ncapd2,Jpt1,Dctpp1,Nap1l1,Bard1,Rad21,Ppm1d,Ranbp1,Mcm2,Pole,Nme1,Psip1,Rnaseh2a,Spc24","Endothelial","P7"
"E2F2_TARGET_GENES",0.0053919236427809,0.0429280074636787,0.407017918923954,0.369616172917942,1.38583334886914,387,"Krt8,Cdc6,E2f2,Mcm6,Mcm5,Selenop,Mcm7,Mcm4,Kntc1,Akr1b8,Rad54l,Tspan13,Anxa2,Sesn1,Gins1,Rfc4,Anxa1,Diaph3,Adam9,Dut,Id1,Rchy1,Ccdc28a,Sp110,Cdkn2c,Ndrg1,Phlda1,Abcc5,Ptk2b,Slc2a8,Rad52,Etfbkmt,Msh2,Alcam,Fdxr,Clip1,Hacl1,Itgb5,Rplp0,Mms22l,Ip6k2,Atad2,Nudt9,Pold3,Pef1,Pxmp2,Phb2,Spcs3,Ppp2r5b,Sri,Pitx2,Tufm,Uros,Acaa1a,Csnk1d,Myl12a,Hyal2,Ccng2,Incenp,Efhc1,Exosc2,Hdac5,Hibch,Tsg101,Fbxo5,Ptpn21,Serinc1,Cdk1,Cox7a2l,Idi1,Npm1,Pkp2,Kdm4b,Fads1,Cenpn,Cdc7,Pex16,Bmf,Ppm1d,Tmbim6,Aco2,Pipox,Gcdh,Ndufs3,Pfkm,Jup,Rps6,Slc25a3,Nab2,Fads2,Ube2i,Suclg1,Klhdc3,Comt,Raf1,Slbp,Casp8ap2,Cdk5rap2,Gins3,Erp29,Riok3,Ppox,Hsd17b4,Cops5,Ldha,Gosr2,Topbp1,Oasl1,Aff1,Clp1,Dlst,Psmc3ip,Ptch1,Xrcc6","Cardiomyocyte","P0"
"E2F5_TARGET_GENES",0.0108424953833594,0.0605904153775969,0.380730400722792,0.510677481573405,1.43785919226126,272,"Rrm2,Ifi27,Tk1,Mcm3,Cdca8,Birc5,Diaph3,Tcf19,Spc25,Gins2,Mcm6,Stmn1,Dut,Mcm5,Ccna2,Orc6,Cdca3,Actg1,Cenpa,Hmgb2,H2ax,Smc4,Mcm7,Racgap1,Hmgn2,Ccnb2,Lmnb1,Rrm1,Kif22,Arpc2,Tkt,Cdk5rap2,Anxa5,Mki67,Ube2l3,Arhgdia,Rfc4,Cfl1,Spcs3,Fbxo5,Prcp,Btbd3,Ap2s1,Cenpf,Ehd1,Pxmp2,Top2a,Csnk2b,Mcm2,Chfr","RBC","P0"
"E2F2_TARGET_GENES",0.0148869957749829,0.109242175267639,0.380730400722792,0.410775370965978,1.35205875302831,368,"Hmgb2,Dut,Cdk1,Cenpn,Mms22l,Spc24,H2ax,Ncapd2,Mcm7,Top2a,Smc2,Incenp,Id1,Asf1b,Kif15,Ccna2,Gins1,Kif20a,Aurkb,Anp32e,Cdkn2c,Tmpo,Mcm6,Aco2,Cenpa,Rad54l,Gins3,Casp7,Mgst3,Tipin,Topbp1,Cox5a,Kif11,Atad2,Cxcl1,Ptges3,Rrm1,H2az2,Tpx2,Gprc5c,Oxa1l,Tra2b,Sac3d1,Ube2i,Gnb2,Mcm5,Phb2,Fbxo5,Banf1,Mcm4,Spc25,Arl6ip1,Atp5k,Rps14,E2f2,Myl12a,Nudt9,Hdgf,Bub1b,Cenpf,Ewsr1,Col4a2,Bin1,Hadhb,Gtf2a2,Stip1,Rchy1,Raf1,Phf5a,Snrpd2,Cnot9,Rplp0,Slc3a2,Pole3,Rps12,Hnrnpd,Clp1,Cox6b1,Selenow,Snrpb2,Cops5,Hsp90ab1,Aff1,Idh3a,Ndufs3,Cdc6,Uqcr11,Eed,Polr2k,Ap2s1,Mtor,Erh,Ldha,Akt2,Uqcrh,Map3k11,Bcl6,Riok3,Rbsn,Scp2,Pikfyve,Etfbkmt,Tpm3,Slbp,Anxa1,Suclg1,Snrpa,Psmc3","Fibroblast","P7"
"HALLMARK_E2F_TARGETS",0.0108564177148902,0.147647280922506,0.380730400722792,0.41977560314984,1.45081835867993,199,"Cenpm,Mcm6,Ung,Dscc1,Rpa1,Ube2t,Shmt1,Tcf19,Rpa2,Kif2c,Ppp1r8,Snrpb,Mcm3,Pole4,Cdk4,Msh2,Gins4,Ccnb2,Rbbp7,Prim2,Paics,Prdx4,Tk1,Dnmt1,Racgap1,Cdca3,Cdc20,Birc5,Rrm2,Mcm2,Mad2l1,Dut,Rnaseh2a,Pan2,Ran,Mcm5,Tacc3,Ilf3,Hmgb3,Psmc3ip,Nudt21,Stmn1,Bub1b,Ssrp1,Pttg1,Orc6,Mre11a,H2az1,Pcna,Exosc8,Mxd3,Cks1b,Brca2,Asf1b,Tubg1,Tmpo,Mybl2,Pold2,Chek2,Trip13,Chek1,Rad21,Eed,Pola2,Dlgap5,Suv39h1,Rad1,Smc3,Rfc2,Cdca8,Wdr90,Tipin,Nup107,Jpt1,Hus1,Kif18b,Mki67,Pa2g4,Dclre1b,Mthfd2,Depdc1a,Rad51ap1,Ccne1,Prkdc","Fibroblast","P0"
"E2F2_TARGET_GENES",0.0418897418373211,0.185094208118396,0.321775918075361,0.461502022688623,1.31991959324019,352,"Anxa1,Id1,Cdk1,Tspan13,Cdkn2c,Diaph3,Spc25,Mcm6,Cxcl1,Anxa2,Dut,Mcm5,Ccna2,Selenop,Cenpa,Rplp0,Hmgb2,Rps6,H2az2,Sri,H2ax,Mcm7,Vps4b,Cox7a2l,Sesn1,Gcdh,Rps9,Spc24,Smc2,Npm1,Ccdc28a,Mvb12a,Tsg101,Wasf2,Rchy1,Rrm1,Asf1b,Hdgf,Cdk5rap2,Acaa1a,Arl6ip1,Tpm3,Tmbim6,Myl12a,Incenp,Tmx1,Kif20a,Smc3,Rfc4,Spcs3,Erh,Fbxo5,Prcp,Ap2s1,Gnb2,Serinc1,Ip6k2,Nfkbiz,Tipin,Cenpf,Ehd1,Ube2i,Pxmp2,Top2a,Tnpo2,Cdk7,Pex16,Hyal2,Uros,Sirt2,Erp29,Adam9,Hacl1,Glo1,Ap3b1,Imp3,Aurkb,Jup,Tufm,Comt","RBC","P0"
"E2F2_TARGET_GENES",0.0662983425414365,0.266105671309824,0.237793834423688,0.360060494903933,1.22820404595024,377,"Cenpf,Fads2,Pitx2,Alcam,Hmgb2,Id1,Pclo,Akr1b8,Slc3a2,Etfbkmt,Idi1,Tra2b,Ip6k2,Tcea1,Dctn1,Aco2,Myl12a,Atf4,Top2a,Ube2i,Avl9,Kif20a,Pcsk4,Cdk1,Cdkn2c,Adam9,Fbxo5,Sema3c,Ppp2r1b,Ccna2,Clasp1,Hsp90ab1,Arfip1,Cstf3,Mcm4,Serinc1,Raf1,Nrp1,Ptk2b,Anp32e,Gosr2,Tmx1,Pex16,Clp1,Pef1,Mcm7,Dut,Ewsr1,Smc2,Hadhb,Mgst3,Cox5a,Anxa2,Ppp2r5b,Phb2,Kntc1,Sri,Oxa1l,Tmem97,Ldha,Slc22a5,Jup,Hmgcr,Rchy1,Slc25a3,Spc25,Fbxo9,Incenp,Fads1,Slc30a5,Ss18,Xrcc5,Sh3bgrl2,Diaph3,Riok3,Idh1,Snrpb2,Hsd17b4,Exosc2,Krt8,Hdac5,Hexim1,Suclg1,Rps6ka1,Hadha,Sac3d1,Fkbp14,Cdk7,Tsg101,Cyb5b,Tpm3,Npm1,Casp7,Eif2s2,Pik3r3,Bub1b,Selenow,Slc2a8,Mcm6,Col4a2,Cops5,Aurkb,Mcm5,Gins1,Rplp0,Stip1,Sh2b1,Kif15,Phf5a,Gtf2a2,Asf1b,Rps14,Nedd4,Kif11,Slc35b1,Imp3,Psmd1,Banf1,Spcs3","Cardiomyocyte(cardiac-subset)","P7"
"E2F2_TARGET_GENES",0.0786240786240786,0.344199650893994,0.252961123069611,0.382734611266566,1.23895990152679,352,"Oasl1,Anxa1,Tspan13,Sertad1,Cxcl1,Rplp0,Oas1g,Myl12a,Anxa2,Npm1,Cox7a2l,Slc25a3,Phb2,Vasp,Ldha,Tmbim6,Plec,Ywhag,Rps6,Nfkbib,Cdkn2d,Mcm6,Acaa1a,Erp29,Selenop,Cenpa,Nudt9,Banf1,Cdk5rap2,Idh1,Rps9,Klhdc3,Ewsr1,Suclg1,Hexim1,Sri,Hsp90ab1,Id1,Selenow,Alas1,Tardbp,Snrpa,Mknk1,Tars,Clp1,Tmx1,Alcam,Oxa1l,Scp2,Imp3,Rfc4,Ube2i,Exosc2,Akt2,Ap2s1,Phf5a,Gnb2,Asf1b,Ncapd2,Rchy1,Slc3a2,Phb,H2az2,Aifm1,Hadhb,Glo1,Hsd17b4,Mapk14,Bin1,Pef1","Immune_Myeloid","P0"
"E2F5_TARGET_GENES",0.083710407239819,0.35064018075692,0.234392647294686,-0.406477837178872,-1.24832804679024,273,"Fpr1,Sorbs1,Mki67,Fhl2,Top2a,Pbk,Smc4,Mdh1,Hspd1,H2ax,Cdca8,Stmn1,Cox7b,Fbxo5,Ccna2,Spc25,Racgap1,Atp5j2,Atad2,Smc6,Cox7c,Pias1,Ccdc88a,Mcm3,Phb,Kif22,Birc5,Ndc80,Lmnb1,Hnrnpu,Srsf1,Bub1b,Aurkb,Vps50,Nedd4,Sass6,Nfe2l2,Hmgb3,Rad51,Nr3c1,Ranbp1,Numa1,Ralbp1,Cenpf,Tial1,Ckap5,Lifr,Chpt1,Dut,Pds5b,Nolc1,Trak2,Diaph3,Mcm2,Tpx2,Nab2,Ccnb2,Htra2,Cdkn3,Ube2t,Cdca3,Cp,Upf1,E2f3,Rrm1,Espl1,Myo9b,Cstf3,Rbsn,Mcm5","Immune_Myeloid","P7"
