"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.52281481466,0.506,0.216,0,"CM0","Fosb"
0,1.48390304412666,0.341,0.151,0,"CM0","Socs3"
0,1.48205650433935,0.801,0.533,0,"CM0","Fos"
0,1.31866140173617,0.346,0.16,0,"CM0","Myc"
0,1.24073836232295,0.652,0.374,0,"CM0","Gadd45b"
0,1.23560482238577,0.444,0.242,0,"CM0","Zfp36"
0,1.1668436484296,0.708,0.458,0,"CM0","Egr1"
6.21553983529895e-262,1.144417940266,0.31,0.157,1.88430305646923e-257,"CM0","Aldoc"
0,1.09271024974832,0.919,0.57,0,"CM0","Gm10263"
0,1.91855803248383,0.4,0.174,0,"CM1","Gm43359"
1.32569467222706e-265,1.74958643634161,0.294,0.148,4.01897596832355e-261,"CM1","Kcnd2"
0,1.74572080306922,0.253,0.1,0,"CM1","Nr3c2"
0,1.73110085097167,0.881,0.734,0,"CM1","Ctnna3"
0,1.66584475023074,0.492,0.273,0,"CM1","Filip1l"
0,1.65419496719105,0.498,0.26,0,"CM1","D830005E20Rik"
0,1.57849308826414,0.597,0.369,0,"CM1","Erbb4"
0,1.57747470947571,0.417,0.228,0,"CM1","Rgs6"
0,1.55346310712309,0.43,0.225,0,"CM1","Kcnn2"
0,1.55312409606372,0.697,0.502,0,"CM1","Cacnb2"
0,1.97738291639326,0.332,0.094,0,"CM2","Scgb1c1"
0,1.84822442628755,0.357,0.103,0,"CM2","Fbp2"
0,1.68938134133973,0.656,0.231,0,"CM2","Gm15920"
0,1.67820408447878,0.434,0.149,0,"CM2","Tuba8"
0,1.67109221206594,0.757,0.303,0,"CM2","Hmgcs2"
0,1.58721955565149,0.331,0.12,0,"CM2","4631405J19Rik"
0,1.47361771030552,0.549,0.258,0,"CM2","Ttc27"
3.44752291197341e-312,1.3923974947233,0.35,0.135,1.04515104599386e-307,"CM2","Gpd1"
0,1.39022894475637,0.478,0.211,0,"CM2","H4c8"
0,1.38221880449102,0.57,0.248,0,"CM2","Scd4"
0,3.3395120644202,0.908,0.547,0,"CM3","Nppa"
0,3.2925091741894,0.497,0.227,0,"CM3","Acta1"
1.3112559250523e-191,1.56786395486148,0.293,0.132,3.97520346238854e-187,"CM3","Cnn1"
1.55219423290915e-242,1.46612736346733,0.387,0.185,4.70563203648739e-238,"CM3","Casq1"
9.23571032307837e-134,1.40614422232153,0.342,0.193,2.79989794154444e-129,"CM3","Xirp2"
2.21537270064582e-256,1.36966701021012,0.658,0.468,6.71612387927786e-252,"CM3","Myl4"
1.48292286032255e-131,1.32351184320545,0.325,0.18,4.49562894335385e-127,"CM3","Tceal7"
0,1.27080383600057,0.945,0.807,0,"CM3","Nppb"
2.17786127231393e-129,1.14337792551969,0.374,0.22,6.60240423314692e-125,"CM3","Nmrk2"
3.27576098073631e-195,1.05262554356498,0.456,0.257,9.93079698920021e-191,"CM3","Tpm2"
0,6.3437658381633,0.326,0.004,0,"CM4","Xkr5"
0,6.24221912887548,0.948,0.053,0,"CM4","Prc1"
0,6.10098436401549,0.735,0.016,0,"CM4","Aurkb"
0,6.03566455367768,0.72,0.02,0,"CM4","Pbk"
0,6.01035889939321,0.644,0.017,0,"CM4","Mxd3"
0,5.92039549939458,0.824,0.036,0,"CM4","Aurka"
0,5.90612607873397,0.337,0.006,0,"CM4","Sapcd2"
0,5.84794470714348,0.658,0.017,0,"CM4","Esco2"
0,5.81322626245608,0.899,0.043,0,"CM4","Nusap1"
0,5.79739765781236,0.499,0.011,0,"CM4","Cdca5"
0,2.67444086611991,0.487,0.081,0,"CM5","Cdkn3"
0,2.48553880274887,0.663,0.127,0,"CM5","Ccnb2"
0,2.39922286245956,0.878,0.237,0,"CM5","Lockd"
0,2.3375015457988,0.617,0.142,0,"CM5","Cenpm"
0,2.29095079626394,0.398,0.105,0,"CM5","Gm11837"
0,2.24616072682247,0.817,0.352,0,"CM5","Cenpa"
0,2.22370139169394,0.802,0.161,0,"CM5","Cdca3"
0,2.1858800245242,0.997,0.707,0,"CM5","Stmn1"
0,2.16099873374361,0.751,0.227,0,"CM5","Cenpw"
0,2.02095424987286,0.432,0.113,0,"CM5","Kif20a"
0,4.10135849200124,0.935,0.122,0,"CM6","Hspa1b"
0,4.07622789660811,0.996,0.2,0,"CM6","Hspa1a"
0,2.36649545691766,0.675,0.296,0,"CM6","Dnajb1"
6.70383748431926e-253,2.01465584160932,0.384,0.13,2.03233537174623e-248,"CM6","Hsph1"
1.39040478433841e-160,1.7490841903301,0.499,0.269,4.21515114420032e-156,"CM6","Abra"
0,1.58388344399073,0.862,0.412,0,"CM6","Atf3"
1.09034801141497e-177,1.19997417738479,0.739,0.493,3.30549903140563e-173,"CM6","Ccn1"
0,1.15362915751414,0.988,0.859,0,"CM6","Jun"
3.5431354591307e-63,1.14501348553143,0.285,0.152,1.07413694579006e-58,"CM6","Ddit3.1"
2.99282225376057e-203,1.14468706273294,0.809,0.597,9.07303994450054e-199,"CM6","Bag3"
0,4.19169915883968,1,0.153,0,"CM7","Ddc"
4.71299611785454e-45,0.969940589277249,0.272,0.157,1.42879190308878e-40,"CM7","Lrtm1"
2.46740349123482e-23,0.509611762238174,0.337,0.24,7.48018042402747e-19,"CM7","Palmd"
7.16555812896067e-16,0.485043372053873,0.301,0.225,2.17231060237572e-11,"CM7","2310040G24Rik"
2.13690478136961e-23,0.462910056623103,0.413,0.31,6.4782405352001e-19,"CM7","Gm34030"
8.02528691636452e-19,0.455728417535983,0.382,0.293,2.43294598156507e-14,"CM7","Ndufb4c"
0,2.80197001317184,0.944,0.57,0,"CM8","Cmss1"
0,2.63863880987371,0.303,0.052,0,"CM8","Gm48099"
0,2.57145151251668,0.326,0.06,0,"CM8","Gm19951"
0,2.5336094312131,0.737,0.329,0,"CM8","Cdk8"
0,2.47250302181092,0.558,0.126,0,"CM8","Kcnip1"
4.20970335766315e-260,2.0856497578083,0.276,0.067,1.27621366990916e-255,"CM8","Camk1d"
0,1.96201460013646,0.999,0.942,0,"CM8","Gm42418"
2.05822349307024e-111,1.6985374389745,0.283,0.118,6.23971034159174e-107,"CM8","mt-Co3"
4.8601996792176e-266,1.45092809973792,0.708,0.409,1.47341813475161e-261,"CM8","Gphn"
