"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.53539136138884,0.515,0.214,0,"CM0","Fosb"
0,1.52167658519274,0.81,0.53,0,"CM0","Fos"
0,1.49378933863895,0.345,0.15,0,"CM0","Socs3"
0,1.37581405847706,0.353,0.157,0,"CM0","Myc"
0,1.26927252075612,0.662,0.372,0,"CM0","Gadd45b"
0,1.25745078116794,0.448,0.241,0,"CM0","Zfp36"
0,1.19942636285291,0.715,0.459,0,"CM0","Egr1"
3.1801297029805e-281,1.17578466271729,0.315,0.156,9.64088120755568e-277,"CM0","Aldoc"
0,1.14185974245013,0.935,0.567,0,"CM0","Gm10263"
0,1.11348171646697,0.995,0.951,0,"CM1","mt-Atp8"
0,0.881898089450218,0.999,0.998,0,"CM1","Gm28661"
0,0.879544623812886,0.87,0.704,0,"CM1","Gm49708"
0,0.838430908702271,0.999,0.989,0,"CM1","Gm29216"
0,0.813658573051255,1,1,0,"CM1","mt-Co1"
1.74860417247236e-43,0.794922608146319,0.28,0.206,5.30106840926721e-39,"CM1","Gm47547"
0,0.722707827775265,1,1,0,"CM1","Gm28437"
0,0.705482163934484,1,1,0,"CM1","Gm10925"
0,0.698006541531929,1,1,0,"CM1","mt-Nd4"
0,2.03533206744016,0.343,0.093,0,"CM2","Scgb1c1"
0,1.93158091813692,0.374,0.102,0,"CM2","Fbp2"
0,1.7527820202196,0.781,0.302,0,"CM2","Hmgcs2"
0,1.7520979638187,0.681,0.23,0,"CM2","Gm15920"
0,1.73913107776268,0.446,0.148,0,"CM2","Tuba8"
0,1.66475035918436,0.347,0.118,0,"CM2","4631405J19Rik"
0,1.52606857746488,0.572,0.257,0,"CM2","Ttc27"
5.40607699213026e-278,1.48336188052663,0.295,0.108,1.63890630093421e-273,"CM2","Gm3646"
0,1.45827926012712,0.592,0.246,0,"CM2","Scd4"
0,1.45142818360209,0.352,0.127,0,"CM2","Plbd1"
0,3.15821019454554,0.285,0.035,0,"CM3","Gm42639"
0,2.63841975077933,0.646,0.179,0,"CM3","Gm43359"
