"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Hmgcs2",0,0.0354154417931209,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.261763873535648,0.00795671370086779,0.972271459217701,2.90744873819007e-233,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","3","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Tspan14",0.0351752136550679,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.182340083656378,0.170019142634931,0.242044537047803,0.138690245653904,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","14","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Ankrd6",-0.0343760463455107,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.0235682420917977,0.896582669944775,0.0741664208482519,0.630516700962016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gm17660",0,-0.0333453168698934,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.194525839081,0.30702157092202,-0.420987885298827,0.0490545272496975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm",NA,"naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Syndig1",0,0.0322247312053122,FALSE,TRUE,FALSE,FALSE,"up_in_KO",1.00168917441836,0.000219637856506668,0.190064965312701,0.350851122715216,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","2","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Smoc2",0.0321560737054495,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",-0.0148554530338859,0.948684971202027,-0.451856205623494,0.0046690997946773,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Ckap2l",-0.0287924142661357,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.152842315547761,0.0261121086778046,0.62033682795243,2.02510040919917e-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","2","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Itpkb",-0.0257169942170268,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.0982154196922433,0.515247944257268,0.195711771131502,0.180381145791149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Mmp23",0.0229706183250858,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.347065716345172,0.00147079753265837,-0.323690319671181,0.0433832500886776,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Shisa5",0.0218743679322689,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.23185299289411,0.052346770784683,-0.0231093277839424,0.917465806867406,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","9","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Mcm4",0,0.0212934283559536,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.896262538948799,1.22600081379909e-22,0.906801309401297,4.1499640082579e-48,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"other","16","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Apoe",0,0.0207912347981488,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.460291240641467,9.01190405006126e-18,0.48508289301958,7.11315595916756e-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Rpa2",0.0207022313930066,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.62330406326559,2.55846179840817e-26,0.728136498401334,6.26416881177632e-41,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"other","4","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Actn1",-0.0196467529206689,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.180405008049703,0.000621529749276224,-0.200318612659135,0.000511005340367606,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","12","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Tspan7",0.0172121171100917,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.380811456613015,2.29750352159905e-12,0.102531885617949,0.151603941912882,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","X","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Slc8a1",-0.0160833319259098,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.18001250646881,1.49515351588982e-05,0.189098506753484,2.47595974171938e-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Elk3",-0.0138776046290872,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.055491719825556,0.710246780866947,0.266768479726314,0.105174428711893,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Tmem40",0,0.0137920875637059,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.109088945048703,0.45088544641099,1.40051840246307,0.00282143706666908,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"4930534D22Rik",0.0133016462097743,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",-0.120340392227056,0.461138253543366,-0.333431201980098,0.153838682799262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","3","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Bex1",0.0107700621316324,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.312239902524329,7.49762029555513e-19,-0.0123132940482663,0.831700597772445,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","X","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Rgs5",0.0088308652718079,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",-0.0416631469563208,0.808437765323031,0.0397379934684303,0.859104541173499,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Fli1",-0.00670422407773095,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.182907222605167,0.145453923735217,0.315221597331551,0.117495082599914,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","9","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Kcnk3",-0.00618041365334666,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.763390587979089,7.10797268884362e-40,-0.0950586856298757,0.0152321441562267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Egr1",-0.00605908999778848,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.477805675078301,3.99555379614843e-39,0.464767420202518,4.41250875287968e-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","18","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Myl4",-0.00479193749818019,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.230260854178549,0.0117629301239117,0.411396073020773,8.50543052465509e-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Tmsb4x",0.00400249667600205,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",-0.035393931399637,0.632113110951592,0.194979307170527,2.75911092209378e-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","X","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Shcbp1",0,-0.00269939672723853,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0486408317683115,0.736186055797592,0.404914852749602,1.56992841639023e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Slc6a6",0,0.00238586069014357,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.175430648331768,0.000144327369422002,1.07019884354863,9.86378933966958e-154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Sept11",-0.00212340216638173,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.246707057901174,0.00351396586759482,0.134939302888532,0.244452805464525,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other",NA,"naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
