"subcluster","nearest_CM_subtype"
"CM0","Ventricular"
"CM1","Ventricular"
"CM2","Ventricular"
"CM3","Ventricular"
"CM4","Ventricular"
"CM5","Ventricular"
"CM6","Ventricular"
"CM7","Ventricular"
"CM8","Ventricular"
"CM9","Ventricular"
"CM10","Ventricular"
"CM11","Atrial"
"CM12","Ventricular"
