"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",6461,12.8,1.4,14.1
"CM0","WT",4382,6.5,1.7,8.2
"CM1","KO",4768,15.4,0.5,15.9
"CM1","WT",5042,10.2,0.8,10.9
"CM2","KO",4318,1.1,1,2.1
"CM2","WT",4272,1.5,1.3,2.8
"CM3","KO",3420,3.5,0.4,3.9
"CM3","WT",2516,3.7,0.6,4.3
"CM4","KO",1865,35.5,64.5,100
"CM4","WT",1581,21.7,78.3,100
"CM5","KO",1480,1.3,76.8,78
"CM5","WT",986,0.2,76.6,76.8
"CM6","KO",548,12.4,48.4,60.8
"CM6","WT",777,7.6,36.7,44.3
