"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.86368107800949,0.742,0.497,0,"CM0","Nppa"
0,2.35217352850329,0.719,0.347,0,"CM0","Myl7"
0,2.24965389806493,0.662,0.396,0,"CM0","Myl4"
0,1.9446141458177,0.688,0.298,0,"CM0","Atf3"
0,1.81826767971796,0.938,0.757,0,"CM0","Nppb"
0,1.80006183956618,0.328,0.123,0,"CM0","Socs3"
0,1.73973135422404,0.798,0.484,0,"CM0","Fos"
0,1.72516664872039,0.491,0.171,0,"CM0","Fosb"
0,1.68697484201967,0.54,0.328,0,"CM0","Gpx3"
1.27588430343629e-258,1.63299468724809,0.349,0.211,3.86797085429746e-254,"CM0","Myl1"
0,1.3379061397075,0.46,0.211,0,"CM1","Gm15920"
0,1.23504482600163,0.539,0.284,0,"CM1","Hmgcs2"
3.83726083797341e-266,1.15737461498567,0.251,0.115,1.16330399564002e-261,"CM1","Plbd1"
1.73517677554874e-267,1.14908641699032,0.286,0.141,5.26036191275355e-263,"CM1","Tuba8"
0,1.08484259219038,0.434,0.228,0,"CM1","Scd4"
0,1.07848331209004,0.375,0.189,0,"CM1","Slc25a34"
4.03017252363038e-318,1.07658958457203,0.354,0.183,1.22178710226379e-313,"CM1","2310040G24Rik"
0,1.06933856624673,0.45,0.242,0,"CM1","Ndufb4c"
9.06834286820861e-232,1.05695408939773,0.265,0.132,2.74915882392612e-227,"CM1","Lyrm7"
1.60184023782331e-272,1.02610454723077,0.332,0.175,4.85613886498516e-268,"CM1","Ndufs5-ps"
0,1.75383031521549,0.366,0.173,0,"CM2","Gm43359"
0,1.56605413531618,0.868,0.73,0,"CM2","Ctnna3"
0,1.55440812959709,0.47,0.256,0,"CM2","D830005E20Rik"
0,1.52718029251582,0.462,0.272,0,"CM2","Filip1l"
2.41544064791224e-185,1.48455549743813,0.264,0.15,7.32264986821074e-181,"CM2","Kcnd2"
7.38780316605295e-314,1.44437709257278,0.39,0.227,2.23968640782061e-309,"CM2","Rgs6"
0,1.41030615106796,0.674,0.499,0,"CM2","Cacnb2"
0,1.39027909864289,0.397,0.225,0,"CM2","Kcnn2"
0,1.38990177340028,0.562,0.369,0,"CM2","Erbb4"
0,1.35171720168002,0.974,0.902,0,"CM2","Cacna1c"
0,6.75134149693395,0.269,0.003,0,"CM3","Xkr5"
0,6.4113125484719,0.282,0.004,0,"CM3","Sapcd2"
0,6.33502364385046,0.588,0.011,0,"CM3","Nek2"
0,6.28334082568511,0.829,0.044,0,"CM3","Prc1"
0,6.16725062314765,0.474,0.009,0,"CM3","Plk1"
0,6.15919800927636,0.829,0.04,0,"CM3","Ccnb1"
0,6.13978444719546,0.719,0.027,0,"CM3","Aurka"
0,6.12998932594825,0.582,0.011,0,"CM3","Depdc1a"
0,6.12521990464632,0.263,0.004,0,"CM3","Pif1"
0,6.02801287760893,0.465,0.009,0,"CM3","Gtse1"
0,7.78774031236221,0.321,0.004,0,"CM4","Car4"
0,7.57220745130308,0.362,0.005,0,"CM4","Sox17"
0,7.49283829739616,0.677,0.03,0,"CM4","Cldn5"
0,7.42389153132863,0.382,0.006,0,"CM4","Timp4"
0,7.22844574966205,0.48,0.009,0,"CM4","Ly6a"
0,7.19015890202896,0.666,0.024,0,"CM4","Gpihbp1"
0,7.05487772506127,0.661,0.023,0,"CM4","Apold1"
0,7.032613139953,0.308,0.005,0,"CM4","Mndal"
0,6.97732510376517,0.461,0.01,0,"CM4","Myct1"
0,6.96987524083185,0.601,0.021,0,"CM4","Ly6c1"
