"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.98120439411953,0.255,0.092,0,"CM0","Lrtm1"
0,1.92000713667605,0.554,0.202,0,"CM0","Hmgcs2"
0,1.77957249481316,0.289,0.098,0,"CM0","Tuba8"
0,1.67891780026649,0.428,0.175,0,"CM0","Scd4"
0,1.48155756912446,0.363,0.146,0,"CM0","Slc25a34"
0,1.40188122675854,0.428,0.212,0,"CM0","Gm31251"
0,1.38839046456098,0.353,0.154,0,"CM0","Paqr9"
0,1.37551302991212,0.413,0.177,0,"CM0","Gm15920"
0,1.35694964438469,0.423,0.223,0,"CM0","D830005E20Rik"
0,1.35626123978887,0.582,0.324,0,"CM0","Kcnk3"
0,2.1060149883016,0.709,0.509,0,"CM1","Nppa"
0,1.8230569161842,0.665,0.299,0,"CM1","Atf3"
0,1.73556137190638,0.934,0.754,0,"CM1","Nppb"
0,1.7284378847863,0.387,0.153,0,"CM1","Hspa1a"
0,1.66013103819639,0.266,0.101,0,"CM1","Hspa1b"
0,1.64965047234838,0.786,0.481,0,"CM1","Fos"
0,1.59827576742717,0.467,0.175,0,"CM1","Fosb"
0,1.5007170745929,0.304,0.131,0,"CM1","Socs3"
0,1.43214778160492,0.393,0.214,0,"CM1","Abra"
0,1.33113410665008,0.314,0.137,0,"CM1","Myc"
0,6.3128934254576,0.315,0.004,0,"CM2","Xkr5"
0,6.25016130490163,0.921,0.053,0,"CM2","Prc1"
0,6.12635371247653,0.715,0.015,0,"CM2","Aurkb"
0,6.0850620643302,0.707,0.019,0,"CM2","Pbk"
0,5.95312958925285,0.62,0.017,0,"CM2","Mxd3"
0,5.90938238816208,0.491,0.01,0,"CM2","Cdca5"
0,5.90713656373829,0.644,0.016,0,"CM2","Esco2"
0,5.84896993637545,0.789,0.036,0,"CM2","Aurka"
0,5.79765894029471,0.322,0.006,0,"CM2","Sapcd2"
0,5.74244304256083,0.957,0.088,0,"CM2","Cdk1"
0,2.71821961270041,0.481,0.079,0,"CM3","Cdkn3"
0,2.55944248341933,0.653,0.126,0,"CM3","Ccnb2"
0,2.41880842913579,0.861,0.236,0,"CM3","Lockd"
0,2.33466478993089,0.603,0.142,0,"CM3","Cenpm"
0,2.29815552073909,0.799,0.352,0,"CM3","Cenpa"
0,2.29345801671758,0.392,0.104,0,"CM3","Gm11837"
0,2.25890734534807,0.779,0.16,0,"CM3","Cdca3"
0,2.1784600005842,0.744,0.226,0,"CM3","Cenpw"
0,2.17490239690758,0.996,0.705,0,"CM3","Stmn1"
0,2.16744870073856,0.436,0.112,0,"CM3","Kif20a"
0,7.80681574376899,0.337,0.004,0,"CM4","Car4"
0,7.61917531771533,0.409,0.006,0,"CM4","Timp4"
0,7.53816961199849,0.71,0.03,0,"CM4","Cldn5"
0,7.53269329133984,0.378,0.005,0,"CM4","Sox17"
0,7.22529424165832,0.69,0.025,0,"CM4","Gpihbp1"
0,7.18237337198155,0.498,0.009,0,"CM4","Ly6a"
0,7.08404959244543,0.696,0.023,0,"CM4","Apold1"
0,7.02445718473548,0.629,0.022,0,"CM4","Ly6c1"
0,6.9574019973755,0.477,0.01,0,"CM4","Myct1"
0,6.86773562617715,0.728,0.033,0,"CM4","Esam"
0,9.61348633687571,0.954,0.012,0,"CM5","Sln"
0,8.3583575350661,0.823,0.009,0,"CM5","Mybphl"
0,8.07618980143186,0.639,0.012,0,"CM5","Fgf12"
0,7.6264619764377,0.302,0.002,0,"CM5","Nr2f1"
0,7.1341617145567,0.252,0.003,0,"CM5","Pvalb"
0,6.87045722276526,0.38,0.01,0,"CM5","Bmp2"
0,6.06076437093441,0.6,0.027,0,"CM5","Slc22a1"
0,5.756011867547,0.285,0.009,0,"CM5","Slc39a8"
1.28034604500793e-232,5.64798744259403,1,0.474,3.88149707004605e-228,"CM5","Myl7"
0,5.51210686768512,0.266,0.007,0,"CM5","Plppr5"
0,14.3262569538599,0.387,0.003,0,"CM6","Cma1"
0,14.2114082336466,0.252,0.001,0,"CM6","Mcpt4"
0,14.1556283259873,0.387,0.004,0,"CM6","Tpsb2"
0,13.4665157237088,0.36,0,0,"CM6","Mrgprb2"
0,13.3723582298844,0.378,0,0,"CM6","Il1rl1"
0,13.3453601940463,0.387,0.006,0,"CM6","Cpa3"
0,13.2824696140218,0.369,0.001,0,"CM6","Tpsab1"
0,12.418618756266,0.252,0.001,0,"CM6","Calca"
0,12.4030127814026,0.279,0,0,"CM6","Tph1"
0,12.1348396522699,0.333,0,0,"CM6","Cst7"
