"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",5695,1.3,0.9,2.2
"CM0","WT",5826,1.8,1,2.8
"CM1","KO",6233,18.5,0.7,19.2
"CM1","WT",3512,13.6,0.8,14.4
"CM2","KO",2545,11.4,1.8,13.2
"CM2","WT",3261,7.9,1.4,9.3
"CM3","KO",2451,5.8,0.4,6.2
"CM3","WT",1804,5.4,0.3,5.7
"CM4","KO",2010,32.2,67.8,100
"CM4","WT",1641,19.8,80.2,100
"CM5","KO",1812,0.9,53.5,54.5
"CM5","WT",1370,0.4,49.1,49.5
"CM6","KO",936,4.7,0.2,4.9
"CM6","WT",711,4.5,0.6,5.1
"CM7","KO",573,10.6,48,58.6
"CM7","WT",734,6.8,39.6,46.5
"CM8","KO",329,5.2,0,5.2
"CM8","WT",233,0.4,0.9,1.3
"CM9","KO",146,13,0.7,13.7
"CM9","WT",176,2.8,0,2.8
"CM10","KO",86,4.7,1.2,5.8
"CM10","WT",219,0.9,9.1,10
"CM11","KO",44,25,13.6,38.6
"CM11","WT",69,13,20.3,33.3
