doublet_scores,predicted_doublets
0.10515247108307044,False
0.08163265306122448,False
0.011045364891518738,False
0.48698884758364297,True
0.03671830177854274,False
0.00695206732528357,False
0.06830818109610802,False
0.12050984936268827,False
0.0170082860880942,False
0.3324538258575196,False
0.025135534746180382,False
0.09239653512993262,False
0.09239653512993262,False
0.03469501958589814,False
0.027508914926133464,False
0.10174717368961975,False
0.027508914926133464,False
0.024378352023403212,False
0.029181865554976552,False
0.07460184409052806,False
0.049966688874083946,False
0.09849246231155778,False
0.08679593721144968,False
0.009611687812379853,False
0.08953817153628653,False
0.05751258087706685,False
0.03671830177854274,False
0.14475431606905712,False
0.14475431606905712,False
0.2232645403377111,False
0.08679593721144968,False
0.1342534504391468,False
0.054355400696864106,False
0.09849246231155778,False
0.009611687812379853,False
0.06830818109610802,False
0.09239653512993262,False
0.12050984936268827,False
0.051386071670047315,False
0.0446821900566394,False
0.006121714079942385,False
0.10174717368961975,False
0.0644666155026861,False
0.08163265306122448,False
0.07460184409052806,False
0.10515247108307044,False
0.0446821900566394,False
0.05590941259731067,False
0.21261261261261252,False
0.08679593721144968,False
0.05590941259731067,False
0.03671830177854274,False
0.06264150943396227,False
0.025909317389138018,False
0.048588312541037425,False
0.07033144704931284,False
0.03884638022366098,False
0.05590941259731067,False
0.12942612942612947,False
0.1342534504391468,False
0.04225352112676057,False
0.4121405750798721,True
0.05751258087706685,False
0.03276897870016385,False
0.0644666155026861,False
0.07242798353909465,False
0.04225352112676057,False
0.07919930374238465,False
0.029181865554976552,False
0.052848318462594364,False
0.010559249120062572,False
0.06830818109610802,False
0.1342534504391468,False
0.019501133786848073,False
0.16992481203007517,False
0.01204335608189482,False
0.1936560934891485,False
0.08953817153628653,False
0.009149828440716736,False
0.051386071670047315,False
0.07919930374238465,False
0.07685738684884713,False
0.030933333333333327,False
0.02015574896930829,False
0.29314420803782487,False
0.08679593721144968,False
0.14475431606905712,False
0.0644666155026861,False
0.09239653512993262,False
0.1936560934891485,False
0.03004744333157617,False
0.03776873910517141,False
0.08416289592760179,False
0.06635441061670572,False
0.2348336594911938,False
0.07919930374238465,False
0.07460184409052806,False
0.012555690562980963,False
0.10174717368961975,False
0.1936560934891485,False
0.1504787961696306,False
0.005716327259735619,False
0.1342534504391468,False
0.07919930374238465,False
0.06635441061670572,False
0.24744376278118607,False
0.10515247108307044,False
0.021505376344086016,False
0.0446821900566394,False
0.04345127250155184,False
0.10515247108307044,False
0.09239653512993262,False
0.021505376344086016,False
0.0045375218150087255,False
0.09537856440511308,False
0.03671830177854274,False
0.1504787961696306,False
0.048588312541037425,False
0.16992481203007517,False
0.12485136741973835,False
0.08953817153628653,False
0.03469501958589814,False
0.05590941259731067,False
0.17729393468118188,False
0.04225352112676057,False
0.13935483870967738,False
0.20277296360485253,False
0.12942612942612947,False
0.21261261261261252,False
0.02833590932509016,False
0.18518518518518517,False
0.023637240713941146,False
0.06264150943396227,False
0.007377351530800442,False
0.04225352112676057,False
0.08953817153628653,False
0.03776873910517141,False
0.025909317389138018,False
0.12050984936268827,False
0.07919930374238465,False
0.03004744333157617,False
0.08953817153628653,False
0.054355400696864106,False
0.03884638022366098,False
0.047249190938511335,False
0.10174717368961975,False
0.11245865490628444,False
0.2232645403377111,False
0.09849246231155778,False
0.15655853314527501,False
0.10515247108307044,False
0.10174717368961975,False
0.01885945217781769,False
0.20277296360485253,False
0.1342534504391468,False
0.007377351530800442,False
0.010559249120062572,False
0.13935483870967738,False
0.07685738684884713,False
0.14475431606905712,False
0.05590941259731067,False
0.02291169451073986,False
0.08679593721144968,False
0.15655853314527501,False
0.03276897870016385,False
0.07460184409052806,False
0.025135534746180382,False
0.09849246231155778,False
0.09849246231155778,False
0.08679593721144968,False
0.13935483870967738,False
0.027508914926133464,False
0.009149828440716736,False
0.054355400696864106,False
0.18518518518518517,False
0.660098522167488,True
0.16992481203007517,False
0.052848318462594364,False
0.1630276564774381,False
0.048588312541037425,False
0.1504787961696306,False
0.10515247108307044,False
0.0170082860880942,False
0.0446821900566394,False
0.03004744333157617,False
0.012555690562980963,False
0.021505376344086016,False
0.02833590932509016,False
0.021505376344086016,False
0.035694050991501414,False
0.10871905274488698,False
0.0446821900566394,False
0.047249190938511335,False
0.3324538258575196,False
0.06635441061670572,False
0.020823692734844978,False
0.11245865490628444,False
0.10174717368961975,False
0.06264150943396227,False
0.16992481203007517,False
0.03276897870016385,False
0.08416289592760179,False
0.047249190938511335,False
0.019501133786848073,False
0.24744376278118607,False
0.02833590932509016,False
0.0644666155026861,False
0.08163265306122448,False
0.09239653512993262,False
0.24744376278118607,False
0.054355400696864106,False
0.3557422969187674,False
0.05751258087706685,False
0.05751258087706685,False
0.12942612942612947,False
0.12942612942612947,False
0.048588312541037425,False
0.1630276564774381,False
0.11245865490628444,False
0.005317263381779512,False
0.12485136741973835,False
0.06830818109610802,False
0.047249190938511335,False
0.022201228153046766,False
0.20277296360485253,False
0.14475431606905712,False
0.051386071670047315,False
0.025135534746180382,False
0.12942612942612947,False
0.023637240713941146,False
0.05916727538349161,False
0.24744376278118607,False
0.09537856440511308,False
0.21261261261261252,False
